Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ITGA10,6.2949298488321705,4.765724803083745,1.3258151551331747,3.594562020680055,3.249377360403494e-4,0.004972960134182739
PLA2G4D,11.790529396584793,4.763219503408398,1.3397516631815036,3.5553003099822225,3.7754760439156235e-4,0.005597163621044674
BACE1,76.52299730322703,4.567874411675018,1.2786500587853988,3.5724195062518382,3.5369821764721877e-4,0.005315441979181868
ZBTB47,2.6031256746081457,4.54015461896333,1.3722146658446615,3.3086329216344987,9.375266954582697e-4,NA
SDR16C5,160.0760918153794,4.278410354918058,0.8723861756595663,4.904261982009712,9.377925803457023e-7,3.323675713808798e-5
MYOCOS,0.8653627575145847,3.9955949453446906,1.8357203840061598,2.176581455518273,0.029511810051735473,NA
LOC100505774,0.8773171873575449,3.9884114046684065,2.5311659254040477,1.575721040109901,0.11509010635282593,NA
DNAJB6P1,1.397561681753806,3.984932948183078,1.5782525580320068,2.5249019416461884,0.011573057639709719,NA
ZNF843,1.6896492405052737,3.9789107113921895,1.6264541309339111,2.446371302895272,0.01443023051177794,NA
SSBP3-AS1,0.467561645688553,3.975360917937118,5.418720923483424,0.7336345558430342,0.46317149435663724,NA
ZKSCAN8P1,3.8070768592716187,3.975262010425127,1.3762080166285107,2.8885618761064062,0.0038700787872490813,NA
MAN2B1,2.2171947135843655,3.9676253554926233,1.5093967415790808,2.628616616292563,0.008573295462923613,NA
CCDC102B,5.921497278854631,3.9466519235085866,1.2947816186168144,3.0481216807238156,0.0023027666266974734,0.02321437369337112
CPZ,0.24481819193141147,3.926524158818551,10.808140449360433,0.3632932211804206,0.7163858566473795,NA
CEACAM5,1628.6179915528169,3.892806415864941,0.7318712593684741,5.318977027768535,1.0435230886943883e-7,4.727882825609427e-6
PTH1R,0.32640073494800037,3.836963757853333,10.808948428292451,0.35498030019368676,0.7226043495741188,NA
LINC00323,1.1513266657861656,3.7951507990199804,2.966961883750358,1.279137025590217,0.20084880722383863,NA
RNU6-549P,1.0755572628189576,3.764939974211176,1.9312429869685102,1.9494905610614215,0.05123686893791623,NA
NPAS1,6.170159969286497,3.7196652784999937,1.3610210946486454,2.7329960521003125,0.006276108458355281,0.048759715289361225
RNU6-1272P,3.0014017403180318,3.707087002952193,1.5636363500004158,2.3708114760514536,0.017749081737972693,NA
HSPC324,0.21308245632909842,3.641541520870139,10.810896946545864,0.33683990688983767,0.7362375878617413,NA
SCGB3A1,0.43564418265825317,3.635687792578076,2.9712478727188607,1.2236231874021386,0.22109440829275454,NA
FGF13,38.59944273334577,3.6143733949604258,1.2911673663196033,2.7993066501231243,0.005121247676270238,0.04209849586816637
AVIL,23.38843622017446,3.5910114402473146,0.925588228353587,3.8797073366359847,1.0458222221606026e-4,0.0020127268105977402
ZNRF3-AS1,4.592659863396224,3.590852197902748,1.5014925710569749,2.3915217878001016,0.016778688056743207,NA
SMN1,5.25634233387695,3.577366974397034,1.3724544306949908,2.6065469966718733,0.00914602718405617,NA
ZFP36,11.950631398603482,3.576265493890743,1.3815917521387822,2.5885110332733836,0.009639185899421528,0.06737614258007064
HOXB4,101.81533961073549,3.571365112152732,1.3457169358284715,2.6538754303140815,0.007957319666233583,0.0585099541392901
CHST1,0.582604751990275,3.5635666783692903,5.468764719794571,0.6516218672693516,0.5146451374949983,NA
HMGCS2,52.619501569239546,3.54400685149356,0.7087152306669352,5.000607716809584,5.714988775844885e-7,2.167275301513773e-5
LINC01554,2.2041904717348313,3.5354004075137313,1.4388347811213156,2.457127429709835,0.014005299796268455,NA
RPL7AP32,0.6336523511606613,3.5192559184625014,1.8925744406485128,1.8595072631629683,0.06295527070944676,NA
DNAH12,1.1040731869585494,3.507203000689206,1.828035371958717,1.918564079496603,0.055039525201430003,NA
HNRNPCP8,0.4565020675531857,3.434206926676897,7.910201095410804,0.43414913037663383,0.6641801503592298,NA
LOC101929470,1.05007426230312,3.417388869642234,3.8360042459549963,0.8908720247757324,0.37299782989466895,NA
RNU6-918P,0.3789966443256163,3.396554004273067,4.337072718397902,0.7831443521490552,0.43354234868331637,NA
HADHAP1,0.38878901167400953,3.379265096117969,7.092547250757754,0.4764529550024407,0.633751715817778,NA
PDE2A,2.6377579990335356,3.3491722810006377,1.324960022601386,2.527753459628899,0.01147949310562257,NA
NOS2P3,0.2961829384318435,3.3420622822941533,10.8052362048294,0.30930025211299117,0.7570931392081344,NA
UQCRFS1-DT,1.2252894752326164,3.332812451000375,1.9129931199256214,1.7421978240726539,0.08147383461424007,NA
SMG1P7,5.223661849339127,3.3289848596714005,1.4288361279630943,2.3298577034282446,0.019813673161784374,NA
RN7SL448P,6.643833058097893,3.327566758792894,1.41030765835244,2.3594615962592504,0.01830147505265293,0.10673009750332177
DNAH3,6.369102755096688,3.3244135619181914,1.3872164320714702,2.3964635114320183,0.016554141622256015,0.09923810313988234
LINC02585,0.9845299588004078,3.319219928670791,1.6390227201375418,2.0251213652439497,0.04285490355176289,NA
DDHD1-DT,1.5865686055776667,3.3130479359416563,1.5331247405717128,2.1609774131661315,0.030697084214699917,NA
ZDHHC15,1.2744846969077237,3.3124798149601657,1.5066509488272928,2.1985714856771876,0.02790840634831685,NA
ME3,21.784621871358837,3.3082796168769644,1.3655290299412133,2.422709107121207,0.015405256882181246,0.09492072104065716
IGFBP4,377.8562444692234,3.3040384442719057,1.3998327571010032,2.360309420901419,0.0182596977663521,0.10653171735507083
PDE9A,58.4131473295642,3.3022655684829614,1.3686043609062792,2.4128708506351875,0.01582742675985325,0.09661134484627185
ART1,0.1980544673680393,3.3016370037093647,10.814980447431662,0.30528367755795954,0.7601501063716702,NA
CNTNAP1,3.0366594223128467,3.301077676051233,1.4673366552195544,2.249707089582179,0.024467545187621752,NA
WFDC1,3.5261246034694054,3.29878150790617,1.4462171416080312,2.2809724853892237,0.02255007508095226,NA
RACK1P1,1.029102452511975,3.2944806840655367,2.2775577124720092,1.446497125418518,0.148037817698817,NA
LINC01623,4.850408515333244,3.2924272027104444,1.4949004740847807,2.2024390652000823,0.027634308966181312,NA
GJB4,7.000227952219049,3.2897480176340954,1.430788785540208,2.299254824248584,0.021490473481541806,0.1191640075133207
RPS23P2,0.6107886454006232,3.2890663299572416,2.388772385192655,1.376885613022514,0.16854761593477197,NA
