Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HMGCS2,52.619501569239546,6.779658795965854,0.8776637926578681,7.724665017152767,1.1214787188480998e-14,1.0864507147074545e-12
NEURL1,6.787318169090071,5.737530577554825,1.2923640800365137,4.43956209104227,9.014210596438426e-6,1.2663183416974095e-4
SOCS2-AS1,3.2470627145005206,5.498681261191766,1.3090047482397023,4.200657995004353,2.661403663380324e-5,3.207024369158342e-4
KRT40,0.900738157512153,5.2279455342225685,3.4968172195191234,1.4950582790087916,0.1348992330328028,NA
LOC400499,2.6922457975807,5.115094444784607,1.5301721921092106,3.3428227693341426,8.293084746016872e-4,NA
PPP1R14D,3.39135852369494,5.0129610797267095,1.372677630102454,3.651958019708205,2.6024843536661746e-4,0.0022250122677561985
LOC102723566,2.7415145829121013,4.90087825198129,1.5293775376319196,3.2044921096263677,0.0013530099885899211,NA
SDR16C5,160.0760918153794,4.8886351048854415,1.0529462747701914,4.642815328780569,3.4369352510141935e-6,5.466485821948907e-5
DEPP1,8.27503150933691,4.861984410841359,0.7271131658700036,6.686695605386142,2.2826597878100675e-11,1.1662671703540546e-9
RIPOR3-AS1,2.2752680420981415,4.842136798443827,3.505938831910082,1.3811241526440912,0.16724079049224455,NA
FLACC1,6.084533788499932,4.7374750656031175,1.331463250970615,3.558096749684661,3.735517293894138e-4,0.0030075651650084538
ZNF334,33.63055327269443,4.7143918877934565,1.2817525897872883,3.6780825920358216,2.3499387243308036e-4,0.0020382985946680965
FOSL2-AS1,5.52429732990799,4.699077057901291,1.4135265740933092,3.3243641428640713,8.862039969118034e-4,0.00614371627784721
ADCY1,12.861330286967524,4.691277473000427,1.3091040832892464,3.5835786725324037,3.38918620359857e-4,0.002776675945715929
CELF3,1.0590576332960357,4.6386118069297275,8.064516004412422,0.5751878729475837,0.5651642435205066,NA
LRP4,11.305917038648632,4.608347628918552,1.3157903048378403,3.5023419856300664,4.611872484516513e-4,0.0035948028002352065
FGF13,38.59944273334577,4.602792784508947,1.2911673663196033,3.56483048175926,3.640914303762889e-4,0.0029505051872807464
LOC100505664,0.7601967581047754,4.598874683595725,8.333862586720285,0.5518299150892971,0.5810648894025927,NA
CXCR1,0.5987282374567291,4.566775117489503,4.507387778646775,1.0131755557229996,0.3109763140952724,NA
LOC101927702,1.6481580794712387,4.489246703931602,1.4773434832087657,3.038729147930468,0.002375783471179336,NA
ZNF606,20.45398450915362,4.480316529499231,1.284389040686974,3.4882861715348095,4.8612747773691653e-4,0.003748080537652226
EHMT2-AS1,1.659816140305482,4.467776874017875,1.7939357304883132,2.490488816342231,0.012756751051475435,NA
RPL31P43,0.7609177146597775,4.459503706601069,1.8495582468013099,2.411118284224619,0.015903689682633768,NA
F8,19.317345300851276,4.4491665266527285,1.2422526803686482,3.5815310338734014,3.4158655228214136e-4,0.0027939307968735017
SPTA1,0.439708110315395,4.447133515409167,10.804480852841412,0.41160085116349104,0.6806320076432921,NA
LDLRAD1,16.84067006064328,4.408445728893151,1.24568042812858,3.5389861069873914,4.016669917521352e-4,0.003194280303811356
GRIN2C,1.1449022708144496,4.337272852241489,1.7220746331254446,2.518632333820308,0.011781160350658942,NA
WNT2B,9.047395694257093,4.333161426386588,0.6569589179568537,6.59578751113197,4.2300441464822753e-11,2.096612246557112e-9
ERN2,62.65410360348534,4.331422090788177,1.2858795388244793,3.368450900733564,7.559185955760799e-4,0.005412761759149508
LINC00921,5.884664488139904,4.2215712867992385,1.4260163075865238,2.960394817604913,0.003072450157424671,0.017078198173851963
WNK4,10.047715775536888,4.198743264386244,1.4300310162214092,2.936120417500203,0.003323452829282634,0.018188772105674107
CTNNA1-AS1,3.6179123151882546,4.1975298025469,1.4528048415306767,2.889259233280348,0.0038615059013191078,0.020585740552237455
SPAG17,3.2478647848787165,4.175951345087577,1.5066774753693715,2.771629239405611,0.005577652590731942,0.02744492051488451
CACNA1C,1.2009912926605277,4.121719387113337,2.2216927671224314,1.8552157382462235,0.06356542512314328,NA
RNU6-147P,0.7952619363185935,4.02206562224727,1.808677995050246,2.223759913734968,0.02616460176921735,NA
CHADL,15.965597740642995,4.001205323233355,1.3184418118598202,3.0347985684625516,0.002406963840741733,0.014065606557001925
PON1,3.720525556369509,3.9993623433473084,1.4987374654669217,2.6684876007295473,0.007619359081723236,0.03500869052671049
FSIP2-AS2,1.9532654300014163,3.9920589380679976,2.1140360954654707,1.8883589294576457,0.05897778106091007,NA
VIT,0.941903064043769,3.9794032492640077,4.477565857683635,0.8887425390818618,0.3741414635391263,NA
RN7SL32P,2.7660929624901254,3.966018259233139,1.502133407176339,2.640257010652822,0.008284317589494071,NA
CCDC60,0.2699505620385495,3.9639929398189135,10.808046369596678,0.36676313223171686,0.7137957102773833,NA
PJVK,4.34482076952292,3.9636037579104078,1.4255706939959898,2.780362822134135,0.005429819490506278,0.026877066018202774
CPZ,0.24481819193141147,3.9531467085992436,10.808140449360431,0.365756415464898,0.7145468450465737,NA
CD52,10.314897479594533,3.8789980664205843,2.0227298764538184,1.9177044407042192,0.0551484983493071,0.16214024513711395
SLC4A5,5.414925497973141,3.871480273634655,1.384498897997199,2.7963043374285785,0.005169069953895754,0.0258946052567438
SLC45A2,1.3962632394747976,3.867895113331865,1.3824926690785047,2.7977689862977693,0.0051456901392914894,NA
TEX41,0.6413036515850423,3.856005617594266,8.459312374394083,0.4558296758571303,0.6485124625108549,NA
