Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HMGCS2,52.619501569239546,6.578076911643025,0.8783078782163051,7.4894886802131255,6.9142446964639e-14,5.165783988831273e-12
SOCS2-AS1,3.2470627145005206,5.67927783887034,1.3100992736065433,4.334998082424686,1.4576139299700302e-5,1.879193177729039e-4
NEURL1,6.787318169090071,5.6650777880886904,1.2992601246749433,4.360233705706941,1.2992360679034615e-5,1.7007777449580696e-4
CACNA1C,1.2009912926605277,5.562086296090012,2.19079096629011,2.538848471476428,0.011121798184715696,NA
LINC00921,5.884664488139904,5.376325596811729,1.406797579796025,3.821676745840902,1.325473635566286e-4,0.001282435514992624
FOSL2-AS1,5.52429732990799,5.372668525756846,1.3982905896626239,3.8423118667008627,1.2188083109190574e-4,0.0011980490905487357
PPP1R14D,3.39135852369494,5.370355776559692,1.3685920741329345,3.9240003490171147,8.709060873129844e-5,8.994469071669364e-4
KRT40,0.900738157512153,5.325996762749142,3.498618675593889,1.5223141635591528,0.1279303808383302,NA
RN7SL32P,2.7660929624901254,5.041662723522837,1.4817493899227945,3.4025070351373854,6.677063618560458e-4,0.004928940857757202
LRP4,11.305917038648632,5.008234090569072,1.3078495169536233,3.8293657073290532,1.2847396811499828e-4,0.001250926443515139
WNK4,10.047715775536888,5.006240870236712,1.4032304130412991,3.567654195426401,3.601914226571418e-4,0.002983608344735957
RBMS3,118.03349293890109,4.913556984126599,1.2529178146604296,3.921691372437137,8.792957203344189e-5,9.056686787250813e-4
VIT,0.941903064043769,4.802092482471163,4.472542587172483,1.0736828971162506,0.282964829326858,NA
LOC400499,2.6922457975807,4.766116181467084,1.5359013535592183,3.103139515062171,0.001914793500283524,0.011716730823149201
CELF3,1.0590576332960357,4.745076820986667,8.065090053639668,0.588347655069924,0.5562989648154384,NA
WNT2B,9.047395694257093,4.650668790585737,0.6560920899015811,7.088439050200062,1.3563309069599743e-12,7.928841286640828e-11
RIPOR3-AS1,2.2752680420981415,4.620097867731345,3.507525672945713,1.3171957381145165,0.18777302212461164,NA
SDR16C5,160.0760918153794,4.566857652846203,1.0611308568326074,4.303764821690244,1.679199133881221e-5,2.13432480784438e-4
F8,19.317345300851276,4.561800590938,1.2449068272306822,3.6643710928036337,2.479470774128704e-4,0.0021799985290789454
DEPP1,8.27503150933691,4.559046043165604,0.7320494360370314,6.227784380036023,4.73077522777745e-10,1.775895916388221e-8
SPAG17,3.2478647848787165,4.513252442439867,1.5010034405212327,3.00682351592253,0.002639929792002149,0.015194725552162688
SLC4A5,5.414925497973141,4.475310023940905,1.3722472221567288,3.261300115373646,0.0011090259225013577,0.007477669266038961
SPTA1,0.439708110315395,4.461307370155969,10.806088372400321,0.4128512757262407,0.6797155811572682,NA
CCL5,16.52939070172623,4.449987331653734,1.3597373864935132,3.272681457357989,0.0010653246560567112,0.007245342998296887
DDX39B-AS1,0.7061176779739186,4.425798536154068,1.9251932918520205,2.298885288498219,0.021511454005959826,NA
TMPRSS5,27.239314989726598,4.409967537563225,1.3324163000723703,3.3097520176867374,9.337866105714642e-4,0.006486111441048774
LRRC17,16.95167688375356,4.39286788143609,1.1321918923164216,3.8799676196659996,1.0447037160473534e-4,0.0010540633804335484
TRBC2,14.778923228424246,4.387084466668813,1.6842881465604105,2.60471135869949,0.00919516874458102,0.04065623686258745
LOC100505664,0.7601967581047754,4.3843657430332845,8.335914074085633,0.5259610048840632,0.5989153011095818,NA
LINC01091,14.409000091347197,4.3746980641236615,1.3179948920678362,3.319207145985281,9.027343706526573e-4,0.006304733069273187
EPM2A-DT,5.7676729783262495,4.3527187902965965,1.401982443242602,3.104688515377787,0.0019047950166204868,0.011669536189823752
GZMA,2.6485147989780975,4.280514153744392,2.942265968297543,1.454835898544273,0.14571469730098563,0.32538386629304916
LOC101927702,1.6481580794712387,4.258313239111335,1.5006640437521206,2.837619290500388,0.004545135921183194,NA
CCDC148,11.094941489618341,4.2449095991378885,1.3399255871612492,3.168018910759891,0.0015348153664309662,0.009741911376815864
LPAR3,18.36936804058688,4.2393202154273855,1.3167491365526265,3.2195352157407338,0.001283985889223748,0.008427195070541812
