Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC10A6,0.7155059856638879,4.452773238927244,2.5939152047602048,1.7166225136256457,0.08604816620589449,NA
F8,19.317345300851276,4.3126391083821405,1.2449068272306825,3.464226409598607,5.317587452262089e-4,0.006991001807308274
CRYBB3,1.140454464138352,4.2876921565253285,1.7039508886608383,2.5163237890589047,0.011858618251150286,NA
USF1,6.658690602087687,4.116505774605822,1.4494000368019684,2.840144659916454,0.004509307992394638,NA
ICA1,160.6721247670323,3.998872658208894,1.2449469825277075,3.2120826945495207,0.001317764382822119,0.014387483200165165
UCA1,11.517321986016634,3.962382220916529,1.3171019307044787,3.008409697491802,0.0026261883594541017,0.023979258232796324
TBKBP1,55.50734743857417,3.9521889112231507,1.3059909475811438,3.026199315196703,0.002476489966601077,0.022942382032494064
CCDC60,0.2699505620385495,3.951903204481568,10.808177519420534,0.3656401088324689,0.7146336419654241,NA
NYNRIN,35.951114418680355,3.944637794197194,1.320723957242732,2.986723889246616,0.00281984275381662,0.02529698771946794
RNU6-147P,0.7952619363185935,3.9003466912020417,1.8142782824409616,2.1498061950862617,0.03157054796117918,NA
PDLIM1P3,0.176142511907251,3.8968632938969647,10.808669632799347,0.36053126113428197,0.7184498832271142,NA
RN7SL394P,0.8123926846878542,3.878555604420443,4.464559781572856,0.8687431223183297,0.3849876493572707,NA
SNORD13P3,9.577032523001106,3.850079708191421,1.6266280379953366,2.3669084869189123,0.017937367487131168,0.09642058305280064
C16orf86,3.3883373501671867,3.8252793403430374,1.4511324138349888,2.63606498199138,0.008387366769818695,NA
PSG5,0.4399224569486883,3.802172236262188,6.221454693756876,0.6111387807866869,0.5411077078512632,NA
RPL23AP14,0.4340568236764212,3.77227562503553,10.80985529188432,0.34896633888037604,0.727114580566391,NA
C1orf54,1.9004948796678967,3.7611544922963858,1.398551254977318,2.6893218814189153,0.007159734483699909,NA
BDNF-AS,3.4268368362977277,3.7389722292376204,1.2713960984971424,2.94083978522294,0.003273237859155098,NA
CXCL5,4.285597036577836,3.7001927600762463,2.2089522978563636,1.675089481862976,0.09391667633930688,NA
SMAD9,73.4744563239902,3.687774370182967,1.2660210497822753,2.9128855091447132,0.0035810587131611246,0.02998686790524557
CAPN6,0.1863958563832523,3.668347076870411,10.810925601780717,0.339318501670771,0.7343698062449961,NA
GLYATL2,7.14154053635702,3.622493230229191,2.204606325969981,1.6431474352389737,0.10035243248709806,NA
SNORA75,4.247801356948899,3.613847387166736,1.4153014484624848,2.553411777464543,0.010667329891945885,NA
LOC400499,2.6922457975807,3.588131854334215,1.36232158653812,2.633836158650499,0.00844262165183687,NA
CEACAM5,1628.6179915528169,3.579492079894535,0.7404848583921932,4.833984165005949,1.3382723620008706e-6,4.460127214458402e-5
RNU6-598P,1.750365648846831,3.579373599387551,1.5045599174249138,2.379016985587204,0.017358876065490962,NA
SNORA71D,2.422719311985866,3.5728657548424367,1.6206579917757629,2.204577259960709,0.027483772936904082,NA
ADCY10P1,11.983395985511326,3.5677259259887033,1.3630346274517904,2.6174873727592747,0.008857976557471958,0.059309736558341875
HMGCS2,52.619501569239546,3.567170363554981,0.7179109835803748,4.968819874805012,6.736160669936111e-7,2.446859888035921e-5
C20orf203,0.5494920452984138,3.564277804091538,5.267317220843908,0.6766780231095487,0.498610263232015,NA
KLHL30,0.30070877318075584,3.5630079391095477,5.141318674477842,0.6930144121967718,0.48830050703159666,NA
ABCA10,2.485676269095636,3.5388168199606,1.639006601524601,2.159122981364931,0.03084062717520818,NA
SLC30A2,1.5524092761598942,3.5197547840801047,1.7919869956494565,1.9641631287644843,0.04951117719185614,NA
SNORA7B,2.325728354435628,3.5128181532838023,1.7848200371316412,1.9681637813351773,0.04904919610070913,NA
ABCB6,0.8998507120576856,3.504351013803167,1.6767201154020623,2.090003562080995,0.0366174797243952,NA
DNAH11,166.68338402802385,3.5028479641245402,1.4010479865931982,2.5001627336420498,0.012413626923535134,0.07598074403932363
TGFB1,108.83439598231583,3.4880307754448383,1.3058443482305175,2.671092293787762,0.007560485567396994,0.05268067352620894
PRKN,1.2025708140381035,3.4848064251495448,2.476274893437841,1.4072776953739363,0.15934506059010323,NA
EAF2,1.9273244398034957,3.452562597881709,1.6345663063638929,2.1122193602301547,0.034667638701592014,NA
RPL27AP8,2.765019085071232,3.401257734913906,1.5972963406146303,2.1293842904599165,0.033222479112322706,NA
PRSS57,0.26545378639431694,3.3762675365422674,8.312825377146783,0.4061516251531204,0.6846311955213684,NA
LINC00907,1.024165151788104,3.3469660066668676,1.7236113329670328,1.941833371973358,0.05215727545996361,NA
RN7SL678P,1.1154161486147793,3.346884781002662,1.9894069131627625,1.6823530464573377,0.09250040046608203,NA
LINC02685,0.25108052936262326,3.3367361493048207,10.814903710258204,0.308531285964187,0.7576780978211015,NA
TRIM31-AS1,1.3068950220451157,3.320286335854473,2.1426365852199867,1.5496264549751333,0.12123119949296275,NA
LOC100506071,2.182555653771436,3.3005520609277803,1.4552219142208749,2.268074737381133,0.023324651827938518,NA
C10orf143,5.407304186330811,3.294089955022218,1.3196665513346275,2.4961532530250032,0.01255483470992514,NA
RAB32,72.95732610326479,3.293142294883283,1.3596648883145541,2.4220249586392386,0.015434290450658616,0.08731402115146435
RGS7BP,61.20669130545143,3.276347211541679,1.405658672533755,2.3308270176542463,0.019762482870019443,0.10299325706635493
SNORD71,4.687001592915604,3.2455078596649805,1.8908722846765897,1.7164077584542334,0.0860874375535868,NA
SPARC,0.5213298172619268,3.2422167195063576,3.9578915927067784,0.819177747435226,0.4126850089325036,NA
ZNF648,0.28017665768151795,3.239791474533893,10.81624972676018,0.2995300179246431,0.7645356717567784,NA
LINC02908,1.3410187909040194,3.2384690098767894,2.7319227603089997,1.1854174857822466,0.2358524215312987,NA
MANEA-DT,2.1214502279066703,3.2360359938728958,1.4545960376847709,2.224697379915581,0.026101560288210826,NA
LPAL2,2.475615409444803,3.220165865695375,1.5087347314704262,2.1343486025253577,0.03281425552819903,NA
RPL21P97,1.4430812839838554,3.2155763658580137,1.5263468231951958,2.1067140947210476,0.035142369709881605,NA
H2BC18,1.2841301750632397,3.202642121015098,1.6912277342677748,1.893678808668365,0.058267655798293315,NA
TMPRSS5,27.239314989726598,3.199010784967812,1.33241630007237,2.400909374040274,0.016354386260066436,0.09069065026328854
KIF27,24.597233999324963,3.193476089295714,1.1333610964597065,2.8177039950208393,0.00483683782421462,0.03753194705157457
LRRC37A5P,0.1483947195763619,3.1476949680935977,10.81761474388124,0.2909786531151912,0.7710676458030994,NA
MIR125B2,0.152461525693246,3.1356049755281488,10.81780047555365,0.28985605554604854,0.7719263616023563,NA
MALL,0.6955485333908613,3.1320012470113188,3.324969214881632,0.9419639836042263,0.3462110798306183,NA
NNAT,0.7876252490724495,3.127714710566608,7.545269321712383,0.41452658310900153,0.6784885028966247,NA
ZNF404,4.891790829555743,3.1217063782963206,1.3369992310825505,2.3348602644810175,0.01955072173323593,NA
KRT18P4,1.627079823856778,3.1207662216366896,1.5049108979949397,2.0737215909557345,0.03810517482714337,NA
WDR64,0.4608081113620425,3.1175433869641673,3.590859840744415,0.8681885468183227,0.3852911231168955,NA
ZNF25,9.48309466567676,3.113839075580304,1.3562705357011078,2.295883449219548,0.021682546319670537,0.10953013451592569
COL1A2,0.4967238965479496,3.1132951519656302,4.0426360558119985,0.7701151201799931,0.44123160762881536,NA
DLL4,2.070615396750813,3.1129287794282114,1.4749524684793942,2.1105282007070323,0.03481288473984716,NA
SOX18,0.38378064901646985,3.101978986875788,9.209167957760302,0.336835966191912,0.7362405586775428,NA
LAYN,1.813983636093144,3.093259931402557,2.276360493124819,1.3588620698456944,0.17419030012116588,NA
SNORD13,614.4597653531722,3.0916711436455646,0.5776853009229516,5.351825879429663,8.707116103584666e-8,3.882092467454421e-6
RPL37P20,0.3939576514825702,3.0870014829999453,4.471749150928766,0.6903342246643657,0.4899840299561167,NA
RNU6-918P,0.3789966443256163,3.0756915671075236,4.349403344448302,0.7071525272617958,0.4794716963502555,NA
TSSK3,1.2142563612042407,3.0746247833019806,2.121974666986712,1.4489450939902453,0.14735291654938498,NA
EPB42,2.3045938852291767,3.072039951156003,1.5609504759336565,1.9680572820982765,0.04906144721549845,NA
SOCS1,1.6673288800719366,3.071446494951075,1.5283734768566786,2.0096177678167706,0.04447165926621649,NA
LOC101929427,0.19553086474333817,3.0635073745385077,10.818940485231218,0.28316149614839436,0.7770530425460773,NA
ALPP,6.709981243141826,3.058184876168457,0.9656325699937715,3.16702747110962,0.001540057693588496,NA
MPPED2,2.8132306099830604,3.0417729266718303,1.4369877935115194,2.116770191372851,0.03427935637217035,NA
RPP21,1.2471527963348117,3.0374798963695473,1.7167018869709658,1.7693694632846404,0.07683223817877206,NA
SLC22A1,13.513684636107447,3.023444883188311,1.32717388935749,2.2781075693494977,0.022720169389172738,0.1124703223643007
RAPSN,2.4809004466063107,3.0166834501074264,1.2588217991829385,2.3964340719754462,0.016555471465504176,NA
IGF1,20.684300511977142,3.0133830935562056,1.3349469178585853,2.257305555182698,0.02398898848859293,0.1171418335316602
RPSAP19,0.23184635016182262,3.0097575077771053,10.819828810175206,0.27817052936610814,0.780881456555954,NA
CA15P1,0.2568475143615126,3.0097575074554994,10.81982881022817,0.27817052933502273,0.7808814565798152,NA
EGILA,0.3301364332701731,3.009756520473079,10.819827420973837,0.2781704738320296,0.7808814991841577,NA
GTF2IP5,0.2563130450593581,3.0071039753638154,8.463210081599577,0.3553148210159356,0.7223537533750847,NA
RPL26P32,1.1681435412572383,3.004754579572179,1.515864115196855,1.982205759374396,0.047456216349396,NA
SAMD15,5.216302617140473,3.004190649461,1.2237002500562975,2.4550053408281887,0.014088249525405121,NA
BRINP2,0.40099795431405133,3.0038951178525797,5.061236160496229,0.5935101668044004,0.5528397810092833,NA
AXIN2,75.86622475735217,2.9962010539229524,1.3867238377909843,2.160632832774999,0.03072371310412311,0.1378121868745172
EPIST,0.9323591878288776,2.9956467889428424,2.34631462837273,1.2767455620478538,0.20169209025238974,NA
ALPK2,0.46120429986470757,2.9944397926568684,5.102958222980396,0.5868046850103268,0.5573348899463626,NA
SCARNA20,18.24706146472302,2.991952326010125,1.471947569713335,2.032648708128112,0.04208802676413024,0.1700228741795819
SNORD13P1,0.6234467086111115,2.9908253459118854,4.709408051209521,0.63507458121913,0.5253797742710015,NA
VGF,44.276128011632245,2.989819472462275,1.3028119410482741,2.2948971975622157,0.021739016459768248,0.10973223340597141
CHIC1,19.40946208206923,2.9893741759681034,1.306655754685951,2.2878054646356234,0.02214885246839831,0.11091899032915772
AMN,28.101653396382524,2.986912045240047,1.3151826096237744,2.271100623885601,0.02314088724501596,0.11401110377055002
APLF,37.81281660835612,2.985610949400245,1.3413544692921695,2.225818020329665,0.026026373273650667,0.12382497577124806
SNORD12C,0.33001429027424517,2.98478298108734,4.038045556205658,0.7391652569397918,0.45980665493758194,NA
IGFBP4,377.8562444692234,2.9793878505087914,1.4343712548283352,2.0771385654025556,0.03778877204609913,0.158515456307913
LOC124902567,1.4640566965641746,2.9774841318935,1.9342174719260252,1.5393740234021498,0.12371301195552072,NA
MIR4453HG,7.491750060887146,2.9766516715057696,1.3565290672852155,2.1943146986616817,0.028212793476489417,NA
POLD4,2.8748280714325185,2.974723688566116,1.7627594994902296,1.6875380274089422,0.09149994421793757,NA
GCOM1,0.42546653521944305,2.9723998904904327,7.062269413923282,0.4208845225630077,0.6738394076403474,NA
FER1L5,0.8135642648382765,2.9675444445637646,1.8982514324898327,1.563304203949104,0.11798105997071245,NA
CLEC4A,1.7170881277853507,2.9660974905515065,1.7381477547819333,1.7064702827428102,0.08792055466965813,NA
RPS15AP30,1.4755738340785478,2.965168179772818,1.662723508514373,1.7833200556730966,0.07453421849333407,NA
PCDHGA5,14.573420233045262,2.9622141240507087,1.4999862521027323,1.974827515851012,0.048287725330707965,0.18614020318256083
CPZ,0.24481819193141147,2.9588298210982558,10.820700196720168,0.27344162275146466,0.7845137610974453,NA
RNY1P11,0.5068158390116768,2.9586252398315356,3.1423982394961834,0.9415182336360678,0.3464393497244817,NA
RFPL3S,3.370649232012066,2.9581379643102053,1.4750331828899497,2.0054721470838315,0.044912595491081474,NA
ANKLE1,6.135104453233988,2.956065593599924,1.4362147454985765,2.058233702769663,0.0395677048154077,NA
GLIPR1L2,7.762705520413277,2.954837536551328,0.8152655295429211,3.624386693017622,2.896479672506057e-4,0.0042666265761522925
ZNF879,5.555130628007818,2.9548143814323966,1.4718187653269237,2.0075939042508857,0.04468646285776954,NA
SLC9B2,16.400416938080582,2.9533566215996885,1.5237591091498324,1.938204407681925,0.052598289223497546,0.19699292322289266
SCARNA11,35.424710614302086,2.9459415331348797,1.4306697296372495,2.0591345941748775,0.03948134665804973,0.16292094151024147
RNU6-1251P,0.5493683106175766,2.9456911125440186,3.7482736176457045,0.7858794242439032,0.43193812994325953,NA
MTUS2,0.28598042240946075,2.942280183334458,10.80860457788631,0.2722164699552585,0.7854555786661251,NA
LUZP2,6.157807485646379,2.935956874327599,1.4517686876594438,2.0223310361246174,0.04314216438098968,NA
TAS2R3,1.3113930342422324,2.9282203337319532,2.620272721206077,1.1175250232670941,0.26376990649563276,NA
USP24P1,0.28759039575134987,2.927930969329127,10.808735335432246,0.27088561968309477,0.7864790054969386,NA
LINC02405,0.4194401463378602,2.922322624286561,10.79594553451357,0.27068704773881863,0.7866317394441633,NA
EGR2,8.494187301931026,2.920791003776159,1.482524422023582,1.9701469738956507,0.04882152867662492,0.18745385909795126
FGFBP1,85.32576232913993,2.9180262394426855,1.5414510945389162,1.8930384815844805,0.058352752163815434,0.2109274780628589
RCOR2,6.705135205986373,2.9167101788868375,1.4554725717866548,2.0039609371040576,0.04507424502931552,NA
EMB,10.987323090725384,2.916174834460073,1.4975226566969215,1.9473326973845362,0.05149486110497279,0.19441461155207937
