Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RYR2,6.178198313036988,16.039802543571383,1.8402187001783006,8.7162479883599,2.875730577121659e-18,3.3329510501748146e-16
HMGCS2,52.619501569239546,6.6442651147522485,0.9233214464001779,7.196047639374933,6.198298052238683e-13,3.6983178378357476e-11
CXCL13,3.1818204696626338,4.759659558561657,1.5221396475051665,3.126953276831652,0.0017662799530116045,0.009744784261307175
C1orf53,10.839231074579859,4.4520752314181165,0.9057439603588919,4.915379429804894,8.861067193348125e-7,1.6093775928392142e-5
MTLN,27.414483035946798,4.447996699600282,1.0327984204264593,4.306742353230587,1.656763937812462e-5,2.000784635544135e-4
LINC01695,1.3874497832933583,4.247345354321605,2.0484395428233135,2.0734540929958785,0.03813003923375799,NA
ARHGEF25,13.449493591841463,4.246569073361188,0.8423946054911275,5.041068693555297,4.629392388140496e-7,9.128459164374957e-6
SYVN1,51.82757330014491,4.162864523404699,0.9288167979280817,4.481900556375413,7.398121753666805e-6,1.0015440458115313e-4
C5orf15,31.94024866432383,4.034708500401862,0.8918953854290834,4.523746356710656,6.0754527530500585e-6,8.437546883761762e-5
MMP7,59.769524416553274,3.9651686269687536,0.6750327649966822,5.8740387616418035,4.253038589525104e-9,1.325269858360724e-7
NOXRED1,1.0776317454811828,3.9569114980158493,1.5018273884567088,2.634731213739554,0.008420393294209523,NA
TMEM150A,80.48233280938008,3.952245402366372,0.6424147572247407,6.152170942399022,7.642943240333017e-10,2.797381086139937e-8
RBM12B-DT,1.7618916124390658,3.9308155592776917,1.464669799195618,2.6837554522094034,0.007280033533229116,0.029683963609294116
CD8A,2.026794146182918,3.8924000726186727,1.1837684308522827,3.288143163115311,0.0010085054125876073,0.006135651313815659
UPK3A,3.911115528656645,3.8267471844776475,0.8995126869085088,4.254244815189442,2.0975571506489802e-5,2.4433583294978357e-4
ZNF423,0.35956819179449373,3.820145856636482,7.7433842630503165,0.49334318520977405,0.6217701193257252,NA
