Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LILRA5,0.7257032085581141,5.833390463246192,10.798791412634255,0.5401891971374967,0.5890665619394826,NA
COL4A3,6.339330313344098,5.768749094405048,1.4081969064782869,4.096550040599025,4.1935287276221546e-5,6.676516215411738e-4
SIRPB1,0.5387426705037199,5.630702619084471,10.79928623417462,0.5213958123700775,0.6020910680658038,NA
FGL2,3.592295708657505,5.403715637680775,3.937771549868572,1.372277586255894,0.16997704038283984,0.38307362426479913
PF4,0.5726123378152446,5.385604458964841,10.799984989979574,0.4986677725905827,0.618013451828205,NA
FCN1,4.381743014336472,5.304604122074897,4.762523753031763,1.11382208197871,0.26535552173526594,0.5053071205890007
CSF3R,5.586774099273298,5.274104267917725,1.584825426125369,3.32787711565937,8.751045807390762e-4,0.007774420973665715
HEPACAM2,1.4843016945142207,5.138883195617692,2.6374885821528697,1.9484001676409306,0.05136709978411786,NA
GNMT,5.261340150338397,5.039912164103568,1.4456803517230208,3.4861870800808736,4.899582290272239e-4,0.004986179558658446
ERMN,0.5642752090237628,4.951928963429868,6.005070170047303,0.8246246626941348,0.40958471509998445,NA
CA3,13.107953237247248,4.7609155977620015,1.483668414501232,3.2088811430028916,0.0013325256457020081,0.010800455796263698
CCDC183,21.508522600810586,4.758233793415127,1.2262614130337095,3.880276866613208,1.043376266290956e-4,0.0014143040591701834
SGK2,173.16354878635286,4.7465755166018155,1.2632371448050295,3.7574698750125903,1.7164002227931715e-4,0.0021234560429967864
APOBEC3A,3.8220911847365326,4.698710619129568,2.189976348701913,2.145553134359046,0.031908647914878345,0.12269968653383799
PDK4,77.50593443504552,4.698497742183653,1.3281022679128272,3.537752969556746,4.0354741491831176e-4,0.004283251702625685
FSCN2,1.8046159262332153,4.693868355351474,1.5536463835421044,3.0211947873557214,0.00251779331474777,NA
MEG3,0.7223607644753879,4.666751144937252,6.145778308842153,0.7593425780137609,0.44764765361655784,NA
SPI1,0.6159839998389228,4.650520481289614,5.9670531934010596,0.7793663522947316,0.43576393874490116,NA
CD300LF,1.536563106586587,4.595870316540908,3.8342203845031984,1.1986453191673792,0.23066588840242858,NA
