Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MEGF10,2.148356020483049,5.134254317437666,1.8807161599866442,2.7299464037540497,0.006334462299339991,NA
PRR29,1.4464467362056292,4.837971812793265,1.6110476577760957,3.0029973287516794,0.0026733477791261433,NA
ADA2,3.2718255526065403,4.758112856818865,1.3572811601499042,3.505620645536226,4.5554399235267647e-4,NA
IRAK3,0.9710975547082803,4.720956843445988,4.055660536400917,1.1640414184258798,0.2444072271621486,NA
MYLK,37.589012038640405,4.491885837626261,1.3030227842232387,3.4472811158892935,5.662590425009777e-4,0.020599048710020988
TNNC2,3.53936797572325,4.428905093633352,1.3551239530173211,3.2682656695514423,0.0010820874099688545,NA
OVCH1,0.258483523910914,4.3689605766502755,10.802575751670615,0.40443693032882616,0.6858914478212913,NA
FBXW10B,1.9157101479811596,4.096166342596062,1.6378496794911084,2.500941566181318,0.01238636136518483,NA
RPS16P7,1.393733042485512,4.047554050594602,1.4101758988513318,2.870247643497215,0.00410150438446,NA
P2RY13,0.16475277983630954,4.014423943195697,10.804542692305422,0.3715496395839701,0.7102281905658874,NA
RBP7,0.6972204592368735,3.988858455708213,3.5448558391300047,1.1252526581411495,0.26048198477042533,NA
SLC25A34,4.993431982585408,3.9730993219637973,1.3576579493967196,2.9264361643735515,0.003428698628854852,NA
GPX7,4.722083925899481,3.9531658720563363,1.494045089665281,2.645948170775746,0.008146229685531794,NA
MS4A6A,0.761409429657949,3.942656483507292,10.78510063615866,0.3655651084319925,0.7146896149673849,NA
TP73,7.876635361246064,3.941155539915201,1.31092141832162,3.0064010587004404,0.0026436006968205876,NA
LOC101929536,0.5873685049804879,3.8967792249889848,2.3651735280777944,1.6475658883921067,0.09944178514437195,NA
ATP6V1G3,0.15881644216150298,3.8642623972623764,10.805532826209278,0.3576188661321211,0.7206285577096208,NA
SULF2,2.017778052290272,3.8592626603787967,2.1080685880960264,1.8307101970834927,0.06714381026568794,NA
IL26,0.5044464527249518,3.800756270211577,10.805983558931581,0.3517270084193399,0.7250430034486752,NA
SOX15,2.4875380508685536,3.800267546980297,1.5219184464000663,2.4970244338449405,0.01252403268469788,NA
PADI4,4.828418535751487,3.778060974164205,1.635432615139274,2.310129405021352,0.0208809909270312,NA
RNU1-33P,0.722969490104753,3.7241073436234475,2.370690628626258,1.57089554354102,0.11620691392527165,NA
GNMT,5.261340150338397,3.720818061553234,1.4456803517230208,2.5737487938593144,0.010060328735092373,NA
MIR4510,0.22163198677729407,3.6791222195733155,10.806904197907201,0.34044182794604505,0.7335238236474181,NA
LRRK2,2.6372949800335412,3.6698410483345967,1.4757491342362588,2.486764832312669,0.012891058190941008,NA
STAB1,1.07840995341936,3.6668975825303693,2.8214212977747235,1.2996632532059211,0.19371641008348342,NA
FSCN3,0.43903195568547965,3.666789547428093,2.801349518075546,1.3089368262576109,0.19055575089150534,NA
WWP1-AS1,1.6527978203906142,3.661449020663477,1.9281827880833522,1.8989117853826618,0.05757607551875919,NA
TMEM176A,38.129419470569225,3.6311330166869933,1.851414974680671,1.9612745204857627,0.04984700788630152,0.3031129290086619
WNT3A,3.155446789187427,3.6188694844506104,1.5155966214493906,2.3877524093381948,0.016951757705445856,NA
CFAP58,1.7635273114126886,3.6149847870852923,1.679237140358581,2.152754188317533,0.03133800227933995,NA
SIGLEC10,0.3573253002604439,3.6145812550613265,10.80163032812176,0.3346329345905182,0.7379019976367334,NA
ARHGEF38-IT1,2.0972451548645257,3.5679290355528206,1.5502485646092992,2.3015206186964132,0.021362221304759395,NA
GTF2IP14,0.6603519170835949,3.543747657218702,2.544048802561829,1.3929558480364792,0.1636331424954232,NA
LINC01659,3.1936573051121004,3.534905892500055,1.5930078084220265,2.2190135376684683,0.026485803548170882,NA
IMPG2,0.9193444934009682,3.5038564026267047,3.541078840409214,0.9894883905555156,0.32242424717285667,NA
H3P36,0.45760636186904236,3.4731963404355213,2.8217424442398964,1.2308693685086165,0.21837172573860364,NA
RN7SL558P,0.3693474724286966,3.471432999579665,5.05447888960964,0.6868033432122546,0.49220666274021757,NA
CCR3,0.35566402447821155,3.4699587308814186,3.824532431360784,0.9072896604113233,0.3642536404630393,NA
