Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RYR2,6.178198313036988,33.228809316207425,2.8426178760210736,11.689509728517969,1.442167068470197e-31,7.081490983397565e-29
FXYD6,2.7919846864455935,6.29813006864305,1.684930190234272,3.7379175144148618,1.8555079729993426e-4,0.0014680562326152401
UGT2B15,15.35236181988917,6.246535577811344,1.280207587664567,4.879314603350115,1.0645513884737438e-6,1.6660653353673243e-5
LINC01701,1.4019906267962685,6.048879310066377,2.0610100628569468,2.9349101292991726,0.003336443064589474,NA
ADTRP,1.9600118239223372,5.67450134280695,1.423436302951847,3.9864806953703997,6.706058127812508e-5,6.161185155875595e-4
TP53INP1,94.09754283212456,5.636246155781941,1.2363336688153557,4.558839007581621,5.1437181848231e-6,6.565657501066237e-5
LINC00886,2.3638492414897807,5.566507348072114,1.3600324385550537,4.0929224849858485,4.2597015117811095e-5,4.149577796318449e-4
AATBC,9.797641869306355,5.270148205794333,1.2934156300434014,4.074597587488169,4.6093981694177345e-5,4.446130965995142e-4
UNC5B-AS1,4.294145441519237,5.245931653355064,1.5262174548941727,3.4372111500446803,5.877372294544549e-4,0.003938215388664327
LOC102723670,2.6760054406247895,5.237787849464217,1.4862172858387517,3.5242409702617974,4.246978291368019e-4,0.0029764839381028405
ZNF225-AS1,2.07278763643258,5.193635369225646,1.4992549561295045,3.464144205755104,5.319212774147337e-4,0.003629213648292536
SSX1,3.445961063302884,5.153184761310841,1.3408396951345538,3.843251941309596,1.2141471380294545e-4,0.0010207540920201615
RNF122,2.9591171177346824,4.970478421961616,1.4408572156445512,3.4496675784339454,5.612772437930775e-4,0.0037932685297723126
LFNG,1058.1553215634774,4.93732881208186,0.460448222692385,10.722875165445862,7.949310703285616e-27,2.2304914121558375e-24
CYP2T1P,32.95823425044473,4.936762627215098,0.5546864672851719,8.900095672745232,5.579856917881575e-19,7.014103340053855e-17
COL21A1,43.246974144411105,4.934881416120851,1.2634696265430667,3.9058172135273255,9.390747884460681e-5,8.215858658604158e-4
