Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DLG1-AS1,0.9501945426866288,4.581203705515464,1.765274321546672,2.595179485475987,0.009454153419766893,1
SPAG8,8.045391749633264,4.193652717735114,1.4228206022852894,2.947421980676553,0.0032043560044883795,1
EIF3C,1.4851342694765242,4.080975186558995,1.9654989298264156,2.076304964927867,0.037865754408721225,1
TMEM270,1.676068380911764,3.9433271843093256,1.4497271625364005,2.720047803622714,0.006527247939313015,1
RN7SL414P,1.4378398112370148,3.9169510613066767,1.9412379027005706,2.0177594182854017,0.043616323236713224,1
CPA4,27.302992530224202,3.835876172466892,1.3830866129875905,2.7734171789726583,0.005547095822068544,1
LINC00589,1.2428204916701582,3.8061277887392677,1.9928053806063604,1.9099345203399436,0.05614164470191938,1
UCN2,0.41657907516154985,3.7908589928743504,4.992461251093313,0.7593166581000863,0.44766315500278514,1
LINC00937,1.5301630874301793,3.646708234146299,1.7858770145171827,2.0419705301667697,0.04115445466166304,1
RGN,0.8594015247463492,3.6440083406648567,2.3611264966378487,1.5433346522745737,0.12274960005476453,1
DOCK11P1,0.2928245642115055,3.5878217820272047,8.284812661197083,0.4330600978862443,0.6649711101112633,1
MIR30C2,0.8147207785312521,3.561798839074697,2.7311764170435806,1.3041262427603417,0.19219054258186521,1
SERTM1,0.2068658132083053,3.534869848468801,8.480542196699636,0.4168212086539069,0.6768091882849114,1
GPR75,0.33669672509453114,3.5296532863648866,4.345739189952886,0.8122101055961328,0.41667108185771157,1
INSC,0.14050304717763012,3.457661704315555,10.809289706245528,0.31987871527929757,0.7490602735603324,1
GASK1B,50.110948166889,3.432686356025506,1.3497088331942113,2.5432791662937664,0.01098174501425364,1
IKBKG,0.3304093027099597,3.420462764033855,3.6414213227589043,0.939320792860728,0.3475660661594875,1
PFN4,1.9322393954263373,3.4104067289261457,1.5097566144317633,2.258911599608883,0.023888884305859406,1
NAP1L2,0.23923482665054996,3.4046938242513307,7.390474730630091,0.4606867553636918,0.6450233587282077,1
LANCL3,2.176454340461342,3.3854540935188946,1.541568990432624,2.196109362947684,0.028084116592626985,1
RPS10P5,3.928785424454393,3.3817090889335866,1.41342785915858,2.3925586771345606,0.016731352529998578,1
NEFM,0.3312077102842273,3.3642297503843275,5.223068850949711,0.6441097841880083,0.5195042461683629,1
STPG3-AS1,30.95059000477378,3.307039156547482,1.1464803456146624,2.8845144787671693,0.0039201773163440555,1
ENO4,0.38868243969800365,3.302283832606954,4.6256877963182434,0.7139011489783994,0.4752883068307287,1
RPS16P1,0.1683379291340366,3.298420736238968,10.810896211913095,0.3051015079216342,0.7602888427685706,1
LINC00924,0.3833619586724762,3.285030837220828,5.725561984030603,0.5737481921221429,0.5661382116173204,1
AGT,1.1987484467024174,3.261721358929598,1.8264413275999714,1.7858341845646097,0.07412610996851159,1
HM13-AS1,0.8545958945867782,3.2577187699832946,1.8737185887970675,1.7386382295938896,0.08209841757948963,1
PCDHB14,37.25286418521062,3.244504385366298,1.3565649941912752,2.391705815245903,0.01677027836117411,1
LURAP1,1.273686498963928,3.223284724988823,1.9462416060183008,1.6561585750821288,0.09768970978371339,1
PRR29,1.4464467362056292,3.2182270505747526,1.6833605914839338,1.9117870923530336,0.05590350803353532,1
KRT18P52,0.8151306183924112,3.2179896866915514,1.6741873208984785,1.9221204500369573,0.05459060342759296,1
CA15P1,0.2568475143615126,3.2173207675559854,10.811785004255066,0.29757535562257137,0.7660272862591391,1
ASIC4,1.2258155331115332,3.200296444226729,2.5790068467873923,1.24090265530441,0.21464171173817032,1
RPL21P37,0.2815914512375774,3.1902277809662185,5.729274914511708,0.5568292373063954,0.5776441058522851,1
DPPA3P2,0.45346320513932564,3.1794559091722316,3.1480076202564455,1.0099899024111079,0.31250012784418546,1
RPS2P8,0.4276229773272426,3.151386135332305,2.7318123739422338,1.153588059484697,0.24866909602925583,1
GPR146,5.9213647167850185,3.146283697832977,1.3303111209183447,2.3650735894480266,0.018026488610457057,1
