Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RYR2,6.178198313036988,34.4829660654092,2.8426178760210736,12.130707527132135,7.261928034390068e-34,4.439727631988031e-31
CYP2T1P,32.95823425044473,7.1791948542543995,1.0451774170781196,6.868876744700852,6.470938383571451e-12,2.902602714609074e-10
EVPLL,0.760992357782478,6.726867765164539,10.797328502426328,0.6230122352629085,0.5332764815712049,NA
UGT2B15,15.35236181988917,6.468961570169006,1.2802075876645675,5.053056732752287,4.347946770452177e-7,7.65971796583288e-6
TP53INP1,94.09754283212456,5.8586721592897675,1.2363336688153561,4.7387467534581464,2.150440545495581e-6,3.1807636276429706e-5
EGFL6,3.044525027322957,5.840237469117959,1.9361615834471217,3.0163998289440603,0.002557957196976533,0.013884971867968311
AATBC,9.797641869306355,5.492574199375469,1.293415630043401,4.24656550593189,2.1707233556318414e-5,2.388808695427654e-4
NFE2,3.464600871578352,5.406963358733868,1.539925543559591,3.5111849279644294,4.461139414839729e-4,0.0032227978196465138
LFNG,1058.1553215634774,5.233126863467446,0.4627275265937939,11.309305288123383,1.1802025598105306e-29,4.530605501114519e-27
SULT1E1,1.6128951282132025,4.868570097595766,1.6392673253104546,2.9699671447265175,0.0029783160071984883,0.01575234294483353
PCDHGA5,14.573420233045262,4.8638724418814645,1.366598066536614,3.559109705319601,3.7211408147095275e-4,0.002775638112445105
GNAO1,4.543385027387268,4.8440199338787755,1.4695326638790083,3.2962996011891303,9.79674794588798e-4,0.006272882790642858
ALDH1A1,17.368011392329006,4.8366605558871125,0.6393015654216603,7.565538421131545,3.8626132498216544e-14,2.4809399577745544e-12
PLIN5,9.923075694215136,4.827859430092457,1.3710733492076153,3.5212262224210127,4.2955598271484106e-4,0.0031277814762566748
HS1BP3-IT1,1.0877467571285375,4.81429068812091,2.4706591286983226,1.9485855544375885,0.05134493863154895,NA
PDE1C,0.5516011011495996,4.7569234966787866,4.13824769125218,1.149501878955777,0.25034909241799747,NA
WNT11,1.0703174294148254,4.701896884454811,3.1816239740497303,1.4778292226878091,0.13945349446882666,NA
PLEKHS1,72.39157618189,4.62065279165833,0.5133428354097604,9.001105056760036,2.234569954680675e-19,3.023446413271631e-17
VIM,505.60314787696734,4.568628686191567,1.3055994201688341,3.499257594339903,4.6655561203150925e-4,0.003348449342523532
LMO3,177.722860501203,4.566713513615866,1.262844668390737,3.6162115800316927,2.989460596206414e-4,0.002297347582010208
LOC100507053,3.839644727008863,4.562028858954006,1.4397677434670952,3.1685866554894573,0.0015318207702126414,0.009069499804124847
HEXA-AS1,0.7778645488766367,4.53928500034487,2.633056774895044,1.7239601681303702,0.08471503410588388,NA
UNC5B-AS1,4.294145441519237,4.506562622647301,1.526217454894172,2.952765746582151,0.0031494085794495108,0.016472524531360288
LINC00858,2.007136919665699,4.504732854082242,1.452992626966847,3.100313635786279,0.0019331582396012704,0.011018868460323954
LINC01122,0.5652021911557388,4.461482564423708,3.4091486323698836,1.3086793934596774,0.1906429747606562,NA
FER1L6,1.3737074432688885,4.4494631334224355,1.8700813271676744,2.379288573594473,0.017346090575592717,0.0654472953442992
LINC01701,1.4019906267962685,4.410325428025049,1.8428804035238542,2.393169637916746,0.016703516198566627,0.0636337276459126
LOC100507250,1.6357727957973023,4.402996950860002,1.5301785894491047,2.87743991532725,0.004009162517944371,0.020115272244288062
NUP93-DT,1.0468092521809813,4.379057151851902,2.758084242473775,1.5877169683273515,0.11235035429902861,NA
FOSL2-AS1,5.52429732990799,4.374537062770087,1.4265064255526685,3.0666087333432577,0.002165020487857675,0.012139263992210136
HCG25,1.9523992449873,4.366657338522553,1.3878282611637565,3.1463960352420797,0.0016529601574453874,0.009669269311805076
LINC02671,0.41456097980654266,4.360926904438905,3.9519886176415806,1.103476585173306,0.26982025436145796,NA
CALCRL,0.300043268635609,4.353009974293498,4.575022019585618,0.9514730105469024,0.341364312988561,NA
CES3,9.251000924093201,4.302978863257539,1.458701289864701,2.9498697870190087,0.0031790788291955426,0.01659615883413372
RN7SL574P,9.987522610006543,4.279349389954544,1.2742384148572938,3.3583584830424393,7.840685729234097e-4,0.005202017658057365
RPL36AP11,7.863577928013804,4.277471002165397,1.3611621861624417,3.1425138353460853,0.0016750379681574664,0.009773719243681617
LINC00648,0.24636995427297856,4.273635590996651,10.805456312625164,0.3955071833480376,0.692468621323487,NA
SLC49A3,35.61355314803844,4.271395004830866,1.2493683818292296,3.4188435268203414,6.288787910930195e-4,0.004330789405328524
LINC02761,0.2266391938901335,4.257911948855701,10.805565062415244,0.39404805988961195,0.6935455571076772,NA
ARHGEF2-AS2,1.41832540701023,4.239210005707466,1.4962529884533768,2.8332174026862837,0.004608203353441448,0.02251187119125717
TRANK1,23.180849615729343,4.238096039839814,1.3073004190347832,3.2418684933711868,0.0011874880472460285,0.007366352948474329
ASXL3,2.4177684164240687,4.222605070843726,0.9322772020522625,4.529344986178275,5.916682432802132e-6,7.714587434302117e-5
BCL2L14,6.563404229367029,4.189839304045367,1.3147546952844258,3.186784058709114,0.001438641410237336,0.008627329720015502
PDE11A,3.2502239986736727,4.18478696235201,1.270782829886276,3.293077986209896,9.90969836320533e-4,0.006326488476293904
TMEM229B,206.1612161740208,4.174855303424933,1.3954668664112901,2.9917265711663736,0.002774046027286409,0.0148720941125095
TUBA1A,88.40470413926805,4.17035930388838,0.26879572982637123,15.514976025036654,2.747373529067539e-54,1.5116964948105957e-50
SNHG31,11.075485855259968,4.1319070597560135,1.3673149697153693,3.02191312994704,0.002511826213468881,0.01368520565722558
MIR181B1,0.5843115020507976,4.127407294132968,3.6936384318609594,1.117436741650282,0.2638076328453542,NA
ZNF91,149.07926542973837,4.121106715198688,1.2508769051045017,3.2945741490481826,9.857093499632105e-4,0.006304186067354791
MARCHF1,1.3561732468978556,4.118040187761309,1.9567370764966516,2.104544467023777,0.035330979985113836,0.11428737734945603
PLCG1-AS1,0.28684934440823584,4.090241392118995,10.806803333268718,0.3784876309840114,0.7050683806316145,NA
