Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RYR2,6.178198313036988,33.96438211474436,2.764035998011014,12.287966632556506,1.051168941795368e-34,7.362752892314511e-32
LINC01701,1.4019906267962685,6.11977411500765,2.0595489017446282,2.971414813129048,0.002964310978925938,NA
UGT2B15,15.35236181988917,6.075927705210028,1.278782236919259,4.751338836116204,2.020741849184418e-6,2.959468290032816e-5
AATBC,9.797641869306355,6.029173156573005,1.2750221305009228,4.728681183129191,2.2598291074806092e-6,3.268029346634885e-5
FXYD6,2.7919846864455935,5.5332242123742175,1.690215233421802,3.273680240813078,0.001061566642121318,0.0067197794124064575
UNC5B-AS1,4.294145441519237,5.522599387725939,1.5162967225347854,3.642162715021792,2.7035708643633936e-4,0.002103067437223287
ADTRP,1.9600118239223372,5.454756011081659,1.4228798602812742,3.8336026556756275,1.262800656117241e-4,0.0010943366632624396
TP53INP1,94.09754283212456,5.416240705944378,1.2356356427388118,4.383363929142711,1.1686065092537993e-5,1.4187076762681768e-4
CYP2T1P,32.95823425044473,5.367412987095542,0.5518577101086191,9.72608135897767,2.3341199591629386e-22,4.4238438284841104e-20
LINC01239,19.92921856343255,5.140117462517462,1.2264758228022754,4.190965175956933,2.7777029574061287e-5,2.9868837892503363e-4
PCDHGA5,14.573420233045262,5.089546948441509,1.3457275156918673,3.782004075189667,1.555708147205188e-4,0.001300594616059968
LFNG,1058.1553215634774,4.910060047427151,0.46024234651946716,10.668423026605325,1.4303323264359134e-26,3.905534538793655e-24
CBFA2T3,3.0185875419274275,4.864453432406615,1.6351640427940484,2.9749023982294727,0.002930817813508166,0.015623916272540221
LOC100130691,4.4419786918947,4.853686140302704,1.374111910915379,3.5322349669972444,4.120630447017412e-4,0.0030133162279369274
RNF122,2.9591171177346824,4.836000557246375,1.4369051516281346,3.3655669977707148,7.638651422079417e-4,0.005089275203047949
ARHGAP42-AS1,1.6734122525092348,4.792311949041588,1.6033870539686939,2.98886780779456,0.0028001325062796114,0.015041725467210583
FOSL2-AS1,5.52429732990799,4.744475365329938,1.39432004586138,3.4027161693705024,6.671955213617524e-4,0.004521884665182091
LINC00886,2.3638492414897807,4.70831301283513,1.3732299427758943,3.428641384936294,6.066104850684758e-4,0.00415144218965724
EVPLL,0.760992357782478,4.70422490282526,10.780178897267056,0.43637725752564777,0.6625630367380204,NA
SSX1,3.445961063302884,4.6989764984640034,1.345286521635493,3.4929187373046444,4.7777187703794405e-4,0.003405710150035964
LOC102723670,2.6760054406247895,4.693261547312667,1.4894098251428787,3.151088080718444,0.001626634278310324,0.009584885963269686
RPS10P5,3.928785424454393,4.678755245968044,1.3423718318146272,3.4854390825850925,4.913300816673744e-4,0.003482326271738408
RPL32P6,12.846594967627972,4.67252093304489,1.3936692410714755,3.352675653121669,8.003443782380943e-4,0.0053016233278847455
