Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RYR2,6.178198313036988,35.614286436923166,2.764035998011015,12.884885168844042,5.475694395787592e-38,5.316899258309752e-35
CYP2T1P,32.95823425044473,8.536769089409113,1.1864412687285584,7.19527322119997,6.233581301903185e-13,3.1467194663766324e-11
EVPLL,0.760992357782478,6.861488854753938,10.79692212603484,0.6355041533742927,0.5250996587542172,NA
AATBC,9.797641869306355,6.304615524455438,1.2750221305009224,4.944710663161997,7.62570386946956e-7,1.2897284198087502e-5
CCT8P1,9.736196253036493,5.550823552320991,1.3775892654865534,4.029374858957314,5.5925377551871166e-5,5.588136847752647e-4
CCDC9B,37.22325495090054,5.237187406359557,1.2909283492162855,4.05691563713743,4.972503285043465e-5,5.063609606799042e-4
TUBA1A,88.40470413926805,5.1367827808965485,0.30935987598823556,16.604554047247845,6.45984414606422e-62,5.331632365954104e-58
DLX5,7.832413839016574,5.019494876712849,1.2422086062837003,4.040782563670692,5.327313464097445e-5,5.371897577999788e-4
CPA6,4.034103378843762,4.925088796011154,1.396334615748065,3.527155124900067,4.200505850084205e-4,0.0031820904115346478
TCF24,0.7558753702464035,4.899948161536664,2.949440099018475,1.6613146892412856,0.09665026136497398,NA
LFNG,1058.1553215634774,4.884794593654048,0.4530412157988866,10.78223001198747,4.176362417343401e-27,1.3517493024134808e-24
TP53INP1,94.09754283212456,4.853291039995913,1.0873881661794091,4.4632553405911946,8.072376023680622e-6,1.0265848306848692e-4
LINC01342,2.4639086023659593,4.820733652713605,1.4352695278160736,3.358765416032277,7.829149722611861e-4,0.005387068548193163
SHISAL2A,1.9807070729208585,4.804371157551352,1.3684653406602714,3.5107729913227392,4.4680577610085745e-4,0.0033570427610818635
EGFL6,3.044525027322957,4.752943904880711,1.7809882279501374,2.6687115783753397,0.007614280444173353,0.03495242694437417
COL21A1,43.246974144411105,4.709565528405162,1.2703821784343432,3.707203712672804,2.0956036927851545e-4,0.0017488437895250022
H4C9,12.375108765948442,4.638752901310176,1.3402978974226423,3.46098647937177,5.381998420054005e-4,0.003937971982262032
ALDH1A1,17.368011392329006,4.626215870701216,0.5797838849964824,7.979207408859396,1.4727591846359855e-15,1.130736551664475e-13
TLR1,7.211945420847711,4.5703426548304895,1.3723375762688677,3.3303341203090913,8.674182975159179e-4,0.005861020809289913
UGT2B15,15.35236181988917,4.55067048781671,1.137679786101578,3.9999572317358574,6.335393201835231e-5,6.221197833592751e-4
LINC01701,1.4019906267962685,4.537082184336112,1.843304639768757,2.461384888015738,0.013840180263648996,0.056118854240249066
LINC01460,0.4621702165970709,4.49575357096627,4.6019652034769924,0.9769203747063375,0.32860857400488713,NA
RRN3P2,0.26458066668642305,4.481240197147082,10.802851604469048,0.41482011983699113,0.6782735896549563,NA
KANK4,1.9430787113918662,4.464157920083934,1.9619071664200376,2.275417510314641,0.022880895942712164,0.08356082949698002
COL4A3,6.339330313344098,4.463390868864008,0.8366444935370388,5.334871505571453,9.561224036696141e-8,1.982752828815869e-6
ZNF566-AS1,2.4095592290466574,4.43208812308314,1.4599908781528121,3.035695763175343,0.0023998137921436165,0.013617643955625534
GNAO1,4.543385027387268,4.388389379098158,1.4660577358597109,2.993326437123408,0.002759544163406188,0.01531152790095662
LOC101929626,1.9182691339357096,4.373497507496871,1.46318877319494,2.9890179501221414,0.002798756888970111,0.015480141261339835
S1PR4,10.396004879657458,4.372918864264339,1.4031721632033716,3.116452121086257,0.0018304140116511488,0.010876401760376355
FSTL4,3.704970307002462,4.371610529002209,1.3129439259388835,3.329624702651394,8.696311266578123e-4,0.005863970999893998
RNY3P2,0.3008242114142226,4.355056643305195,7.259443768245722,0.5999160241939052,0.5485622025193091,NA
MRNIP-DT,2.5663303883718167,4.295991994842669,1.4175563880899065,3.0305616276974523,0.002440993662822429,0.013827550580717171
COLCA1,6.6478796609173685,4.265080763151676,1.048322256375869,4.0684825083237195,4.73203126287307e-5,4.851654661878618e-4
LINC00652,1.0126227907938976,4.2547569977978394,1.6577516591896193,2.566582861921398,0.010270608288021867,NA
LINC00933,0.895684112297943,4.251974765818798,1.625944031286926,2.6150806448444497,0.008920639011122947,NA
FMO4,8.937881621649506,4.245962279827464,1.350856498589371,3.143163085243548,0.0016713269372816211,0.0100872372042807
LINC02671,0.41456097980654266,4.24588812533077,3.950011973268184,1.0749051278995951,0.282417205927491,NA
PLEKHS1,72.39157618189,4.237738554235432,0.4234240400091197,10.008261586054868,1.4019429528375117e-23,3.1272800435795687e-21
HCG27,3.994586375150263,4.227030110335828,1.3670095281840082,3.0921731145145626,0.001986969370119382,0.011634942672068336
PBXIP1,132.6724713609466,4.217846718957921,0.3895020504400935,10.828817753827558,2.513798787226319e-27,8.644849287655177e-25
VWF,10.204726836173522,4.206468597429771,0.8439986945197256,4.983975241600873,6.229105354276118e-7,1.0733177670463035e-5
SCN3A,0.3650160041409782,4.200459730271669,4.773379525431372,0.8799760647341514,0.37887227609232754,NA
HCAR3,1.186123644913236,4.197917822244235,1.6855007278297804,2.490605760609428,0.012752553534203343,0.05263976023733298
LOC100507250,1.6357727957973023,4.194321334236313,1.5289893541056043,2.7431985206265987,0.00608438894547295,0.02911159661533971
PDZD2,34.519509031352534,4.185303654987762,1.2907621380245176,3.2425057504346038,0.0011848355719738708,0.007575162553526805
EPM2A-DT,5.7676729783262495,4.171282507030297,1.426768681810657,2.9235870959381325,0.0034602340703317872,0.01841330876820336
TMEM11-DT,1.4829003446477655,4.168294732492261,1.4724387699001849,2.830878144274091,0.004642040262567515,0.023326075681644434
LDLRAD1,16.84067006064328,4.16483314047857,1.4294270193803673,2.9136381809012923,0.0035724369401111435,0.018900710439235465
CECR2,7.549116849343212,4.156639753032324,1.3190973931115468,3.1511242268680806,0.0016264329777003574,0.009863162807825055
SULF1,65.92329402264494,4.134412038199157,0.5383168746828394,7.680257173128805,1.5876953013599603e-14,1.0483234535819547e-12
LINC00533,0.09537658287440523,4.100013385441942,10.805070332010121,0.379452725383528,0.7043517035706415,NA
TLR5,29.88766717708964,4.07002235967485,1.295745017126303,3.1410673441765,0.001683333204251824,0.010133764114728248
KHDRBS2,2.4247902912479704,4.066261666375059,2.3788322071585166,1.7093520316980046,0.08738576062201518,0.22998672681562576
TARDBPP2,0.25729491637963137,4.057866962496489,8.351054885341547,0.4859107044810816,0.627030478496874,NA
PALMD,75.52508214692934,4.05505233245601,1.2726514820353931,3.186302290687339,0.0014410394286846007,0.008895750878570197
FOSL2-AS1,5.52429732990799,4.0548958496270915,1.3851191853903377,2.927470713276121,0.0034173124352283226,0.01822014740578615
BEND5,27.223717927889677,4.047013949197126,1.0998118614430639,3.6797329534953698,2.334783223277502e-4,0.0019136180072811184
RNF144A,15.2495695900708,4.02687180759159,1.2897001579599021,3.1223317937414636,0.0017942460207043618,0.010688422614134573
LOC730668,0.9550128060181601,4.022634661137683,1.804994571335035,2.228613163175558,0.025839654466049057,NA
SSX1,3.445961063302884,4.015630871938236,1.3364902361115345,3.0046092095828216,0.0026592227340226683,0.014839604490238138
TUBAL3,0.763860800924793,4.002655772423626,1.7726037474999796,2.2580657284905534,0.02394156190241633,NA
MGC16275,15.205887797888023,3.9796773108016192,1.370219838012753,2.9044078916368594,0.00367948450763205,0.01935540177421359
B3GNT8,5.542127601689847,3.972082038430004,0.9138442903773439,4.346563282449195,1.3828716692561764e-5,1.6613582710634425e-4
TMEM14B-DT,1.8401190351364232,3.938276374173594,1.505507584049218,2.615912676827036,0.008898931283580484,0.03975498205630935
CNGB3,3.514045370817788,3.9356570770843597,1.1586917634904816,3.3966385203502747,6.821901957583458e-4,0.004802095335344569
ADH1C,7.539656719679637,3.9311746804606087,0.5006926724723141,7.851472363374729,4.111811251202829e-15,2.963915647319e-13
NATD1,41.79412002688881,3.9219248048277424,0.8299079927767079,4.725734465703551,2.2928510357741733e-6,3.371760621075786e-5
GRM3,0.1002098556129545,3.889246225497696,10.806572996851486,0.3598963544345497,0.7189246433621518,NA
PCDHGA11,0.2925240064922276,3.880070562132082,6.402599549098032,0.6060148744862058,0.5445048759705646,NA
BCAS1,3061.264600390578,3.8726068833562057,0.271775058863124,14.249309335285968,4.527366248828315e-46,9.341654333676125e-43
PATL2,5.940938294365764,3.8539347609136647,1.4719732954930218,2.6182097003484226,0.008839246641034729,0.03950973309059309
UNC5B-AS1,4.294145441519237,3.8539085458483475,1.3703087104080753,2.8124381875239344,0.004916747249303095,0.024372596649923778
FOXN1,3.3091978774478203,3.8398552651904936,1.0387768647795568,3.6965159654430364,2.1857851935175516e-4,0.001812075856590784
VANGL2,4.569094815058002,3.8265530970524932,1.6587005678551776,2.3069583330525467,0.021057143063585134,0.07832137461707972
SNORD83A,13.106703015474407,3.8248833108649833,1.4037634928708294,2.724734850485914,0.006435314461924403,0.03049016527640245
SOSTDC1,0.35744296994000296,3.800236071181763,6.895139611585595,0.5511470811695236,0.5815328530045062,NA
SLC16A12,28.77714378008498,3.7972679991109497,0.4963170633364531,7.650891495819445,1.995907046404055e-14,1.2971038431099108e-12
LINC02293,0.3926826378414151,3.794618935488364,6.128415507021711,0.6191843440022352,0.5357949244279272,NA
CCNG2,61.894724926518116,3.779534578498152,0.45155773065575167,8.369991967604044,5.762216150321387e-17,5.595111881962066e-15
SPATA4,1.2916821461920311,3.7765904646810116,1.8494159685079428,2.042044909846788,0.04114707672753996,0.13099610328669278
MIA,0.9319704460290357,3.7588517856600383,2.1216647405300506,1.7716520965140672,0.07645232608998669,NA
DHX58,22.751458001444792,3.747226162853034,1.3440805160520044,2.7879476847561477,0.005304310879046477,0.025966269181619272
LMO3,177.722860501203,3.7337754524830737,1.0723882059533731,3.4817386388203304,4.981696686922795e-4,0.0036793983938614465
FAM166B,0.41633230236498414,3.7332215755294516,4.276600463615997,0.8729413952251452,0.38269502176927356,NA
ANGPT1,10.201335400747421,3.7318622511251744,1.3715021200247073,2.721003632905756,0.006508404625953112,0.030770085758899505
RPL7AP28,0.08365931060513146,3.7237417091839373,10.807916651741696,0.3445383443611083,0.7304414645076044,NA
RNA5SP29,0.22751200400278435,3.723628788264055,9.86963030923023,0.37728148589128613,0.705964429457577,NA
RPL21P57,6.9365653436513846,3.7207023961142194,1.3868829346978213,2.6827804301484885,0.007301290943818251,0.033845102389668036
LINC01602,0.7298627283706183,3.709811785026432,2.332346977619525,1.5905917175380122,0.1117014896588904,NA
RPS3P5,0.835375979920666,3.707698193214437,1.6461858492732824,2.252296236692364,0.024303557829701037,NA
CES3,9.251000924093201,3.7071088459129076,1.4600992854472825,2.538942990289378,0.011118793983312203,0.047352407709632234
UNC5C,0.291678347050325,3.6888868431975386,10.808219329233493,0.3413038476393641,0.7328748516355916,NA
SGK2,173.16354878635286,3.668080038134556,1.2497065903009297,2.9351529923926236,0.0033338326699373306,0.017890629350668246
POU2AF1,1.1259876002535045,3.6428992737454835,2.1969325215755746,1.6581753139750075,0.09728208590691505,NA
SPON2,440.0016598881641,3.632471834584036,0.44324457261702815,8.195186267339954,2.502054013320205e-16,2.1737581893619274e-14
HIPK1-AS1,3.0588997141484175,3.621382218613524,1.4092951341152065,2.569640759376584,0.010180402414287387,0.04438666208469147
OLFML2A,28.1088239532237,3.6192425221465556,0.44092927163588697,8.208215591400505,2.2449984456688236e-16,1.9711802841837913e-14
LINC02182,0.15087264541778,3.6110881425441392,10.808923365576309,0.3340839804678922,0.7383161880153328,NA
RAB6D,1.62536058891272,3.610356114664244,1.9161992506972172,1.8841235395278444,0.059548266837711195,0.17287429488042536
