Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HSD17B3,3.7582130270361596,6.48663842652104,1.50213518238025,4.318278742557948,1.572507547870933e-5,2.4449630203620656e-4
CD7,6.8396803386551355,5.930499950662431,1.5576615907541316,3.807309614530084,1.404868167258967e-4,0.0015754050598405188
LINC00174,5.560549866391384,5.498349436094689,1.3447472548356354,4.08876048366928,4.336843635918553e-5,5.783254663067881e-4
CLTRN,3.2120820854777308,5.030843181319936,1.3801250621436667,3.645208191137276,2.671754232366419e-4,NA
LIMD2,26.263867245370943,5.011913297977049,1.4031908055077589,3.571797419356263,3.545396153723006e-4,0.003427845735310619
GNG7,3.8185891242433603,4.990506790873211,1.3503429759033363,3.695732773027328,2.1925349389804053e-4,0.0022841111939024376
C19orf38,3.3593882434929334,4.856529843857175,1.6046831185189872,3.026472820589912,0.0024742506404039433,NA
ATP8B2,53.24226176942185,4.802378550904248,1.2872198245155417,3.730814628116586,1.9086162332996424e-4,0.0020395088256054015
VWA5A,26.223861421627067,4.742293634216561,1.41691482685868,3.346915103380132,8.171623225801131e-4,0.006871468764063952
DHRS9,22.69765168479994,4.695548962621427,1.3047860433821004,3.598711824392467,3.197973152120939e-4,0.003148540075600019
HS3ST5,9.583132779990928,4.686276667047303,1.3364820146463403,3.506427034326672,4.5416593696406886e-4,0.004219704246060274
PNCK,2.65316615509617,4.660268255847073,1.5242926068333085,3.0573317976846317,0.0022331693382969795,NA
ABCC6P2,1.3424304341772932,4.659230338281353,1.693597426876743,2.751084918021928,0.005939824339803612,NA
BEST4,6.716351846355112,4.636602727902492,1.3179471087263575,3.5180491669223577,4.3473180793289305e-4,0.004062532377607126
CYP4F2,0.3513699197849375,4.53107981789221,12.065632453485351,0.37553603885748527,0.7072618491796097,NA
TSPEAR,0.43375565064001126,4.531079816810729,12.065632453509918,0.37553603876708747,0.7072618492468259,NA
GHRHR,0.6005957986138936,4.505308442107076,12.060574926872732,0.37355668941358566,0.7087341616069207,NA
ZBTB47,2.6031256746081457,4.476650935175521,1.4299896605944706,3.1305477644604105,0.0017448062256352388,NA
TYROBP,10.129789023520765,4.445511324767616,2.3599031192653346,1.8837685701909475,0.059596286651007045,0.19070703759358693
RETNLB,59.58851229463481,4.349159702992817,0.24809013104999417,17.530563124723376,8.373606128823684e-69,1.2160150820277754e-64
CCDC92B,1.039520560757771,4.318738607548125,3.779019999260043,1.1428197279701517,0.25311344615219983,NA
TGM5,2.9602686639699303,4.309577889148784,1.8101458363853624,2.380790432750147,0.01727553687544069,NA
CALD1,259.723049564729,4.30710007132219,1.3913935785836158,3.0955296456856223,0.001964617325017917,0.014165924922497613
CFAP99,0.43956114101785543,4.306287639468744,3.6808963763964435,1.1699018932134546,0.2420404519361363,NA
NFAM1,1.5318630877425405,4.2337147439599265,1.7302984660623193,2.446811822930578,0.014412606549356596,NA
