Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MOGAT2,2.6891213878503355,5.470140982401172,3.8791149870704182,1.4101518002518216,0.1584948645793581,NA
MR1,50.13680615790983,5.341346944414268,1.2705300764704162,4.204030304621159,2.622038089078521e-5,6.216811552136431e-4
TNFSF10,432.07850924126126,5.238461836652252,1.2775797863259932,4.10030112617607,4.12612889545671e-5,9.092054169635588e-4
SLC2A12,32.092284824086384,5.076221699086148,1.2858270710912083,3.947826121578112,7.886404800159313e-5,0.0014871506194586133
SLC47A2,1.0796632818410763,5.047881253566383,2.548136498785838,1.9810089671301554,0.04759026798656926,NA
DHX58,22.751458001444792,4.5031498492197874,1.329513620193249,3.387065601152127,7.064449349962285e-4,0.008658996488953774
CFAP95,0.2898413635944192,4.472614524772106,10.80632586744344,0.4138885482110893,0.6789557310363838,NA
LINC02067,3.0036340042873264,4.409805021663104,1.3921932891558633,3.1675235443326457,0.0015374326035076816,NA
EFCAB6,9.17534130588011,4.313075763020798,1.3763659863471016,3.133669246264777,0.0017263532897426818,0.017086790166970105
GREM1,1.586823381298599,4.3068891816489785,1.4525446512540352,2.965064914135812,0.0030261906685794143,NA
MYLK3,48.34270557225298,4.302268789718264,1.3475270226442233,3.192714296204624,0.001409423212528527,0.014471624429013927
CARD16,5.249854967240892,4.251681557830219,1.4437808730980148,2.944824687078108,0.0032313770145799554,NA
PCDHA10,29.037710622305372,4.228769236291002,1.3143141012631554,3.217472316721577,0.0012932550664915097,0.013587398671456757
FLJ40194,0.49163848920520836,4.159375124213287,4.595853130550022,0.9050278601299648,0.36545062779177717,NA
PADI3,20.001618560920793,4.155781589301347,1.4130872906143692,2.9409234779081013,0.0032723536239262045,0.02782909079514513
ZNF563,9.699952482493249,4.144094742680271,1.4206687749533844,2.9170027635866416,0.0035341264146458357,0.0293861219989449
DENND2C,4.735739914396872,4.131715486664229,1.4511224445622515,2.847254897163837,0.0044098037530007515,NA
FAM167B,1.8209145475631316,4.113366708014204,1.5505215558731689,2.6528923073873556,0.007980532842914482,NA
SLC52A1,52.8101259800877,4.0907849643723715,1.3315575789366083,3.0721803015377693,0.0021250132644104365,0.020063398964117244
CACNA1S,0.2886870076635345,4.060413511811351,10.809898919173481,0.3756199333750854,0.7071994695045476,NA
LOC105372435,1.3465425973501486,4.056495658284927,1.8562598026719568,2.185305985964833,0.02886641879442025,NA
MMP9,29.92981897975003,4.0486400018679625,1.3572645191689905,2.982941014583373,0.0028549300970139246,0.025075163385673165
DNAI7,3.183041417010612,4.045966120870967,1.4215000741586175,2.84626514934638,0.004423534502450944,NA
CPQ,31.442051292060487,4.036924756101792,1.3152010746681553,3.069435414748553,0.0021446377088312524,0.02018456802080628
SMLR1,0.40646539892469574,3.9994474481615794,10.810519326479353,0.3699588638970663,0.7114131410041789,NA
NR5A2,1.4267143778199998,3.9766230193654883,1.4887436494234187,2.671126772500833,0.007559708992588328,NA
HCG14,1.5887512976726832,3.942671632827834,1.5367797699374168,2.56554108139281,0.010301502178762011,NA
PLA2G5,0.2610803276962053,3.9380225016969606,10.811171435796235,0.3642549306597808,0.7156676515111404,NA
TLCD3B,1.873235487723752,3.9315178034334037,1.6415633584189895,2.3949838934148104,0.01662109538597882,NA
METTL7A,59.194219098289146,3.9105753134670946,0.95175121090653525,4.108820948851017,3.976842449826515e-5,8.805498895357805e-4
ABCA6,1.563475632598727,3.867533867536441,2.738138836781161,1.412468139155043,0.15781216554290542,NA
CFAP276,1.2904601629363512,3.8597940022253185,3.4233296214891475,1.1274970362177128,0.2595323928913236,NA
