Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MOGAT2,2.6891213878503355,6.017462223142043,3.8761338372480414,1.5524392283147506,0.12055716323677454,NA
LINC02067,3.0036340042873264,5.3933354098863004,1.3459073390704652,4.007211531821457,6.14398324040516e-5,NA
TNFSF10,432.07850924126126,5.055835181512671,1.279572155223874,3.9511919362047245,7.776292556704275e-5,0.0013939103091808107
DHX58,22.751458001444792,4.823122526504739,1.3074470670024767,3.6889619841837944,2.2517085787961645e-4,0.0033234465700622594
SLC2A12,32.092284824086384,4.698554235899568,1.2966239100207904,3.6236831664042275,2.904373531467435e-4,0.004057791902272752
LOC105372435,1.3465425973501486,4.6625535001307385,1.8223878144594476,2.5584858849123364,0.01051290879212556,NA
HCG14,1.5887512976726832,4.339492980282789,1.5035591727499402,2.886147122727506,0.003899898058405017,NA
SLC47A2,1.0796632818410763,4.204719555590922,2.5668662478256143,1.6380750493535565,0.10140603908366512,NA
LINC00870,0.7919111949807183,4.198921017251356,10.801546226297717,0.3887333284774135,0.6974734251254369,NA
ADH6,0.39035812727661623,4.122257012045771,10.80790164740574,0.3814114105151254,0.7028979954329203,NA
EWSAT1,0.8632901060508746,4.103358262256,1.6577712487765794,2.475225858383201,0.013315194088908824,NA
SUGT1P3,0.8037003907555376,4.090072443230274,2.2085784644459503,1.851902709852928,0.06403979475663549,NA
LINC03004,31.625459187450673,4.077072462164901,1.0811987681557815,3.7708815272877443,1.6267189239808073e-4,0.0025473841243047564
ARHGEF33,1.7820749401003726,4.040808698905352,2.1374163048045185,1.890510842376545,0.058689671881224,NA
AQP7,14.458441255732069,4.039642110761649,0.5189144470890718,7.784794070434204,6.982684773429448e-15,1.3328435462796076e-12
POU2F3,22.823193140436345,4.034766306261287,0.8220952031018437,4.907906397017922,9.205376693926446e-7,3.385484300733834e-5
SLFN13,69.89682222151333,3.936170653652882,1.3093678016046075,3.006161178569668,0.0026456871903668524,0.023577496254846557
FOXN1,3.3091978774478203,3.927215197422407,1.3699262637824003,2.866734729633746,0.004147304776592966,NA
MMP9,29.92981897975003,3.9257833706641385,1.357240291324247,2.892474822445617,0.003822198155044643,0.03125948416810609
CCR4,1.3163293947909973,3.910239199536737,2.8619304761664406,1.3662942660908057,0.17184662000407258,NA
MYLK3,48.34270557225298,3.9030343759055444,1.3668284650344364,2.855540746883121,0.004296360951207569,0.03421188570538384
GPRIN2,35.461440042736044,3.8986213167998836,0.8967856645606522,4.347327874280721,1.3780613980011684e-5,3.2824818291343175e-4
CAPS2,30.781035284965025,3.8729605758015624,0.9062879701889242,4.2734326209738915,1.924864694385765e-5,4.2835324372077986e-4
LINC02177,0.8890508767313543,3.842409923632701,6.514711634444274,0.5898050657096308,0.555321346116076,NA
SPAG8,8.045391749633264,3.817231570860908,1.2500747934182541,3.053602545190851,0.002261114295147368,0.020712217522021126
ZNF225-AS1,2.07278763643258,3.8154132958837876,1.5740199389146523,2.4239929886241867,0.015350901859442514,NA
SH2D3C,1.2938449294875793,3.80328825874798,2.4611828462060172,1.5453091039582274,0.12227151442846695,NA
LEXM,0.711563389325329,3.8018385384393834,3.0245730023561057,1.2569835594901486,0.20875958886595777,NA
ANKRD45,1.5545384088356007,3.7718759891785036,1.8261130925339957,2.065521573992157,0.03887367639321451,NA
LY6H,0.614753895324754,3.7698025268886965,10.803635617196287,0.3489383259916924,0.7271356113972366,NA
TMEM106A,61.99698590921017,3.769461207283138,1.084666996901955,3.4752243942606715,5.104261878512652e-4,0.006274821499912203
MR1,50.13680615790983,3.738538202830974,1.353488395938884,2.7621501699226876,0.005742206080120253,0.04218376780503255
CA12,26.662113016418473,3.720480750922212,1.3929465028003432,2.6709430286394023,0.007563848338016954,0.05161321631617848
DUSP26,0.34276210377348715,3.71999704644825,10.811882182147038,0.34406562925656375,0.7307969305063302,NA
SLC52A1,52.8101259800877,3.71794162200525,1.3522116133991244,2.7495264684639613,0.005968144256899732,0.04319392476642302
FGF20,0.18263828413345637,3.713789333104674,10.811952706886524,0.34348923212910715,0.7312304401555061,NA
SGO1-AS1,0.5870725860105138,3.712808022442259,7.789303088901277,0.4766547122466601,0.6336080166385605,NA
EFCAB6,9.17534130588011,3.7073094898740364,1.4114457019644175,2.6266043991024866,0.00862415326918294,0.05716385027086299
CRYM,23.909220707145302,3.702414400934101,1.3455842965508418,2.7515291389952754,0.005931774230695361,0.04302349357946487
ZNF350,51.10273520284777,3.6963806118310902,1.3486612124443995,2.740777726625306,0.006129395659039625,0.0440151060924935
LINC02015,2.6353727574395567,3.685171195022638,1.6508650989267126,2.2322667051465936,0.02559734102786616,NA
BMF,179.7799315854265,3.680219905719885,0.40404933241526647,9.10834299297269,8.364974191839534e-20,3.1933854178306326e-17
AHSG,0.4420287926426597,3.6771771613070796,10.812373920986627,0.34008971463424365,0.7337889671709359,NA
FOXH1,0.582109318017276,3.6509962424121323,3.276521113598723,1.1142904671846017,0.26515459526833307,NA
DENND2C,4.735739914396872,3.6481860428845425,1.4778081449243914,2.468646593547631,0.013562508835461706,0.07892723059831547
AMER3,0.4187311181426059,3.6462455474819024,10.81273995813495,0.33721753797830445,0.7359529174033685,NA
