Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pou5f1,8.191104840022717,35.59447548055663,4.564105490715964,7.798784570812578,NA,NA
Tfap2b,16.429211937326198,30.809902456731166,4.6212197932218695,6.667049791035972,NA,NA
Ighv8-13,10.184604025231064,25.62518292211974,4.586851021293231,5.586661263503364,NA,NA
Ighv7-2,9.906002188279581,22.50682941592061,4.594118881037627,4.899052462229106,NA,NA
Kdm5d,241.97250884873873,8.356163075684778,1.047932314325802,7.973953051596468,1.536779386329185e-15,1.2782930935486162e-11
Uty,112.22868516010105,8.200855418228391,1.3724311749325615,5.975421986921395,2.2949534420732255e-9,7.635769092466036e-6
Ighv8-11,145.9173901561365,8.15622754150233,3.7756765525833935,2.160202927319523,NA,NA
Ighv2-6-8,15.670166521139281,8.072637946152367,4.382503836761897,1.8420150322371427,0.06547295107944065,0.46084795811692625
Ddx3y,355.3681971386328,7.364259971905177,0.7925373879801012,9.292003233657006,1.5141132995402394e-20,2.518878885115142e-16
Ighv5-1,14.66328565308408,7.167004793332256,4.564709426929357,1.5700900370680202,0.11639416607884462,0.5296316594331671
Foxe1,10.490898547131831,6.913243875528494,2.0416436763832957,3.3861167624387214,7.088921434141554e-4,0.09071638229106067
Igkv8-34,12.525820966985462,6.832875682331357,4.5653750169457705,1.4966734730376086,NA,NA
Ighv8-5,31.48464487402956,6.832849916447243,3.955470920432501,1.7274428390185517,0.08408816260159836,0.4874183529756761
Ighv3-2,119.45879519609981,6.725270994517658,3.7650320894441824,1.7862453319781624,NA,NA
Eif2s3y,446.1831032747671,6.6770934139016624,0.868630316430979,7.68692191326737,NA,NA
Ighv15-2,4.590781259675785,6.6550406559081985,3.888650054849706,1.7114012734595148,NA,NA
Prss42,11.29272845054015,6.096664663628323,3.512914019828486,1.7355006781310252,0.08265216148579795,0.4858945874224775
Ighv1-33,37.438470343736284,5.9913918457348645,4.5651174523270734,1.3124288494879242,NA,NA
C1rb,19.37777528426789,5.794464167698489,3.223889087505669,1.7973522073557686,0.07227972292472068,0.46968072292393875
Trpa1,30.63536321110932,5.678449793846484,1.4871489299785237,3.8183464207101894,1.3434918108904537e-4,0.046565653160206465
