Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ighv1-62-3,7.359496188507898,32.71345534406465,4.584340690405447,7.135912785131905,NA,NA
Ighv8-13,10.184604025231064,25.90430809751679,4.586851021293232,5.647514597108768,NA,NA
Ighv7-2,9.906002188279581,22.698789761803145,4.594118881037627,4.940836393131472,NA,NA
Ighv3-2,119.45879519609981,7.794554718374397,3.7650320894441816,2.0702492125439176,NA,NA
Igkv3-9,60.85665705292373,7.755489376604023,4.468210434059359,1.735703698618818,NA,NA
Ighv8-11,145.9173901561365,7.301932866647093,3.775676552583392,1.93394025281402,NA,NA
Ighv5-1,14.66328565308408,7.274498942080266,4.564709426929357,1.5936389946673477,0.11101691527071948,1
Ighv15-2,4.590781259675785,6.762535112361682,3.888650054849707,1.7390444028070426,NA,NA
Igkv1-133,25.347993942860484,6.56873619532329,2.6245913955271893,2.502765271012351,0.012322724086303952,1
Sprr2a2,12.197078724303548,5.970850306724348,2.007696440504314,2.973980620907276,0.0029396363987751408,1
Ighv2-6-8,15.670166521139281,5.85741408902561,4.310429661717987,1.3588933235697551,0.1741803947922257,1
Ighv1-54,72.31947809840237,5.748683337912205,2.5679938461592973,2.238589218782576,0.025182656377126224,1
Igkv9-129,15.098326897121364,5.636764560037871,3.0913806426189794,1.8233809458231172,0.06824571414588704,1
Ighv1-31,3.0028082918644943,5.531775458410558,3.1915083958259984,1.7332793063133622,0.08304603702048326,1
Gm4242,7.399322856122942,5.416610466206428,4.57140838112162,1.1848887726975361,NA,NA
Ighv1-33,37.438470343736284,5.319122455767231,4.53765210824738,1.172219096765813,NA,NA
Ighv1-32,1.904065777461599,5.291050433386029,4.5722489006195834,1.157209624495517,0.2471867264949041,1
Foxe1,10.490898547131831,5.224308730426146,1.8277734661121585,2.858291154394931,0.0042592938099760376,1
Ear-ps8,3.748655764240791,5.196046457223049,4.2493883836779185,1.2227751356362917,0.22141463917620535,1
Igkv4-57,187.5146690642093,5.079318587443113,1.79046113202067,2.836877325402043,0.004555711231124484,1
Ighv1-67,62.69620670196686,5.041860141532948,3.565381904927257,1.4141150305848693,NA,NA
Ighv9-2,14.480897997417276,4.995510350585208,4.574540648048513,1.0920244752260053,NA,NA
Ighv3-1,48.72906921248399,4.929175053394766,2.219878297606892,2.2204708513563975,NA,NA
Slc9b1,1.5732698413993302,4.918858540392845,4.062506529407699,1.2107940023692711,0.2259743643953499,1
Igsf21,1.4646526775225222,4.818539436081168,2.4376688845998142,1.976699734128253,0.048075580888923095,1
Ighv2-4,18.323644472552,4.817856749023442,4.38002839230234,1.0999601640689274,NA,NA
Gm3654,2.093534821924718,4.660472186333973,2.4483108999692673,1.9035459043998348,0.05696934980639046,1
Ighv1-2,4.191190274222413,4.5166571045689565,3.364396033812319,1.3424867522064485,0.17943822298902573,1
Sall3,2.2762749123604538,4.495670018839407,2.57092159609711,1.7486608792987846,0.0803496561109831,1
Brsk2,1.4400019455986275,4.476320152526782,2.250956051522856,1.9886306307483805,0.04674198788267089,1
Kcnc4,26.811372294730567,4.476269765086302,1.5080798713671821,2.9681914400384137,0.0029955769512905834,1
A530016L24Rik,30.52682671950964,4.448875595760664,1.7863263796240627,2.490516652783766,0.012755751798475334,1
Ighv1-21,2.2370085067923813,4.4162788752828135,4.514226676340152,0.9783024185358924,0.32792477409813475,1
Hmx3,0.8304513421202019,4.404053301589046,4.580804604049463,0.9614147911255224,0.33634365014284145,1
Igkv8-18,66.58822433080535,4.390821988724013,4.263182551859118,1.0299399416544415,NA,NA
Gm37539,1.3690687953593872,4.372136194126387,1.9405112139272656,2.2530847349642085,0.024253806770435885,1
Gm7224,10.955111555269985,4.360820023961342,1.7898097495318026,2.4364712646705,0.014831347794301928,1
Ighv1-19,60.99363322679864,4.349409092992252,1.8617747533546536,2.336162892506322,0.01948275347154075,1
Defb14,1.3443107842509898,4.341522089121521,2.930954588613182,1.4812655596877626,0.13853582217503269,1
Egfros,1.4467816883482096,4.326072106706565,4.1005184307252325,1.0550061363683325,0.2914225182796399,1
Pnma5,0.7143419877568495,4.2773684412848425,4.582512505270977,0.9334111879378078,0.3506077060703563,1
Trpa1,30.63536321110932,4.273578418129526,1.4126114327914825,3.0253035752970256,0.0024838368272257078,1
Camp,8.258225004607121,4.251084358111316,1.7704443912211203,2.4011397246875603,0.016344094414223624,1
Ighv1-83,20.031770435836545,4.1914951244749865,2.1041633057836924,1.992000864644805,0.04637096301559665,1
Spx,10.245656202174542,4.173442837108572,1.7414637994256301,2.396514264887423,NA,NA
Ighv1-41,0.7061049263266803,4.153137910198381,4.584338749127726,0.9059404501878507,0.36496737270817514,1
Igkv4-79,34.17609215659917,4.141672396980607,2.524826768133766,1.64037883677934,0.10092642284111662,1
Cdh10,4.315426811993672,4.138662570786258,2.0754014868862187,1.9941503352180818,0.04613562781299738,1
Cma2,3.62310277296969,4.114761984432034,3.087278542326718,1.3328120310553373,0.1825934965364871,1
Sprr2b,9.464752060802043,4.104375323268566,1.628691953315705,2.5200439622194017,0.011734017802590826,1
Mrgprb2,1.7480930859601957,4.095258156929353,2.2619855279825187,1.8104705385016073,0.07022284910789865,1
Tdrd1,0.6227438917626189,4.080600673457248,4.585479728670617,0.8898961319016148,0.373521661126569,1
Stra8,13.087197443088929,4.037644635105574,1.520682288287603,2.655153325716873,0.007927236806834877,1
Ighv1-43,0.9789337445061016,3.9892334066400976,4.525908267858729,0.881421622035539,0.3780896589582341,1
Ighv1-62-1,3.1382706619593486,3.9688372532759217,3.3757537648561198,1.1756892029845905,0.23971909471800928,1
Gm14377,0.9603450554301983,3.962967492446018,2.964218545108568,1.3369349905004626,0.18124385804340729,1
Dsg3,90.388035154017075,3.92826331117951,1.7111182190385246,2.2957287623217506,0.021691394827816162,1
Ighv9-1,63.4163606054516,3.923841184134281,2.512540090348112,1.5617029153913453,NA,NA
Igkv8-34,12.525820966985462,3.921722198783445,4.463771195674092,0.8785670292832314,NA,NA
Platr6,4.783849538964746,3.921082306256944,1.7058963390152002,2.298546644704421,0.021530696285538973,1
Gm3809,2.557359067757196,3.9139218597456575,1.6501945698740428,2.3717941697289686,0.017701949004114332,1
Gm37131,7.2757216725204445,3.910595184165744,1.4953724184631012,2.6151312782570484,0.008919316634302045,1
Ighv1-62,40.424069578179946,3.8697050102599473,4.576029699846753,0.8456468301308315,NA,NA
Ighv3-8,108.03221512152383,3.8478108073104402,2.5934170777143,1.4836837623903119,NA,NA
Slc18a2,2.404392101664555,3.835172227829152,2.7539644493917024,1.3926004849758564,0.16374063628930832,1
Gm26761,1.4835345477337183,3.8303174913095543,3.540691476910276,1.0817992802502001,0.2793417265055079,1
Ighv4-2,34.777136609909746,3.819097998216187,4.590100821493696,0.8320292182543799,0.4053924524621857,1
Rprl3,1.3987928773099014,3.8065317193427166,2.706033776986989,1.4066830028932853,0.1595214080482797,1
Gm37474,0.988208512887245,3.7969471962219266,3.59735721907943,1.055482390262475,0.291204759153949,1
Gm30624,1.3284946828054671,3.7709703913355437,3.4452136495552086,1.0945534224916331,0.27371233075316603,1
Fam83c,1.066863954556592,3.770561963861023,4.221673243857411,0.8931439611881946,0.37178008343474833,1
Gm29904,2.3483125314873234,3.7668720405900307,2.7622015568294014,1.363720917207013,0.17265541818626812,1
Gpr25,1.3960621668809508,3.7664445349787785,3.0145310711357856,1.249429661230758,0.21150796531574817,1
Gm47242,1.3784414321316252,3.7560723954957638,3.0652003402006374,1.225392137092711,0.22042750805956382,1
Dsc3,9.985214294551934,3.707149607264592,1.6832392795642663,2.2023901487281403,0.027637761152640338,1
Gpr22,1.9514266839939187,3.6634632898251405,3.9274836765561045,0.9327761975671721,0.35093553324399485,1
Mucl1,3.4258834711005517,3.663133960259577,3.111119183252392,1.1774328608105922,0.2390227804104767,1
Igkv9-123,16.34975550973316,3.6492119286805207,3.6127675094102165,1.010087673556457,NA,NA
Gm29739,1.5277914251734959,3.6384578562418417,1.9735718380771126,1.8435902793317411,0.06524287374125025,1
Ighv1-14,30.0452305727513,3.637182833947389,3.7843276643515993,0.9611173123854163,NA,NA
Casr,0.7335549612661915,3.6326029003273197,4.593943825301081,0.7907373356027582,0.42909728419034066,1
Lamp5,1.048825133846282,3.6307172475643923,4.593985256911932,0.7903197429947683,0.42934105958657864,1
Gm16567,1.623794936466694,3.626375593692186,3.5323862823824106,1.0266078802815373,0.3046051418810873,1
Sprr2a1,33.96369117806435,3.624094491755414,1.1870109231216779,3.0531264886969502,0.0022647045666285386,1
9530046B11Rik,0.6462404840637487,3.6149848037329537,3.8900762937165023,0.9292837802621265,0.35274203870313087,1
Csf1r-ps,0.818350520074166,3.612851185791497,3.236185006319933,1.1163920414735171,0.26425435864850005,1
Plppr4,1.4946778946237753,3.6084270542450314,2.630027161092523,1.372011326584961,0.17005991182226918,1
Gm23297,2.7690030971628183,3.6013495901284007,3.056211177470104,1.178370662563166,0.23864886823050613,1
Gm6545,2.344109778698122,3.5975020073746697,2.2895409267964424,1.5712765669615458,0.11611842177910743,1
Gm10415,0.9316790204378685,3.5971251539155005,4.3374717641504255,0.8293137914224703,0.4069268688895831,1
Gm12057,1.2436844804454845,3.5958542299993708,2.240761053354252,1.6047468446564819,0.10854952820781867,1
Dlx4os,0.9230457035893159,3.593399346373207,3.655770732427871,0.9829389229741871,0.3256374996954493,1
Gm12892,21.15088026876915,3.5900300058090364,1.4365560008185803,2.49905329396373,0.012452558247804297,1
Otol1,8.733617542575498,3.5578547914668337,2.146226717918159,1.6577255150928112,0.09737288137995538,1
Klra13-ps,0.6880293516694023,3.552853037410573,4.5957439033570475,0.773074634297034,0.439478211981742,1
Slc1a6,2.4892860210618983,3.5491544943641755,2.0365840664549024,1.7426997258906263,0.08138607957211204,1
Gm44002,0.8983455139436513,3.540483708395235,4.59603205390963,0.7703348599110641,0.44110128290853706,1
Pou5f1,8.191104840022717,3.5133476310631395,4.433758837046393,0.79240837406565,NA,NA
Ighv1-70,9.152624537615539,3.508941394744387,4.537136062102278,0.7733824480279134,NA,NA
Gm16178,1.1359166979583175,3.4800099013103116,3.1018808749802997,1.1219031425029864,0.26190362439507486,1
Defb1,39.84255094403598,3.461863106041639,1.1253874624514724,3.0761521889541377,0.0020969078615396286,1
Igkv4-54,5.872667648331235,3.4502758619518925,2.988199913511971,1.1546335458851056,0.24824052336533095,1
Igkv4-90,49.81466855533432,3.4459394280352424,3.100012780369761,1.111588781135354,0.2663149983827954,1
Gm43542,0.7355948474568786,3.4156781826351015,4.599080856172216,0.7426871345501735,0.4576711206654735,1
Krt25,2.208658010274234,3.4041648946985466,2.972405644739207,1.145255830314917,0.25210319712092233,1
