Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Onecut2,158.10720743528714,9.058102459440702,2.635398027063498,7.300227978042601e-8,1.1158424474751576e-6,TRUE
Gm49980,193.81116725467544,9.054582901104647,3.3052797646332115,1.1153620569471393e-5,9.119891787109074e-5,TRUE
Pcdhga10,88.98635111302096,8.345544425081917,2.4102308208616847,2.0428320528960156e-8,3.5754191098057643e-7,TRUE
Gpc6,98.6559459866979,8.230859154032427,2.4054743465399464,3.3814246256317616e-8,5.593693435974392e-7,TRUE
Igkv2-137,68.92041735987839,8.128701953161864,3.0534832015392896,1.9483311527116074e-5,1.4784800669456597e-4,TRUE
Ppp2r2b,41.04561761864888,8.12649833351234,2.5459386069475314,2.9624738159438536e-7,3.802393239217158e-6,TRUE
Pcdhgb6,73.83212702186056,8.106675258654908,2.3700485535961815,2.4561147868394693e-8,4.214692974216529e-7,TRUE
Arc,55.92268426760497,8.085130988741565,2.4984954292045596,2.055408963211395e-7,2.7555326413052764e-6,TRUE
Trpa1,30.63536321110932,7.768104972580817,3.123832790495855,4.73792499881891e-5,3.199217981888739e-4,TRUE
Aff3,108.61947520339677,7.657443868766114,2.5219239917985266,1.6681375388381029e-6,1.7175144099877105e-5,TRUE
Fut10,58.50807908235054,7.493410881324549,2.389299104329422,4.5698799135773815e-7,5.531130516088486e-6,TRUE
Dpysl5,28.431368201927935,7.390514044374514,2.5326543318327244,2.779448320066072e-6,2.7004151896766745e-5,TRUE
Chst8,66.0477794625979,7.387683525251783,2.6253218955581166,7.722436653847911e-6,6.628796780904132e-5,TRUE
Tril,54.41966898498206,7.2741572352800095,2.403110395564028,1.2119006608163598e-6,1.3033839697526366e-5,TRUE
Ces2f,55.76900645812975,7.18868460515606,2.710223635157714,2.0375834423501155e-5,1.539776734154913e-4,TRUE
Gm46620,38.977951823082314,7.178328043089839,2.3984220923224044,1.4185305544266854e-6,1.4850722534277202e-5,TRUE
Ano3,39.171257221206425,7.163002912808786,2.596318808130751,1.0156548891826734e-5,8.371997282524129e-5,TRUE
Chst9,30.54976968166824,7.157693429595867,3.5565450904949114,2.6899681654568054e-4,0.001418460405193762,TRUE
Gm28710,54.88245761376907,7.058187363778624,3.033923480968503,9.959374947294203e-5,5.998001475337253e-4,TRUE
Tigit,224.73388106082854,7.055980388538395,1.0991812627351984,1.5211843633925006e-11,5.636557415603114e-10,TRUE
Gm16278,35.362550514424655,6.951365120103764,2.406769101763752,3.3297037675217866e-6,3.1790272617214684e-5,TRUE
Igkv8-19,141.5220529587335,6.943328432013598,2.448764257436318,1.297257284577143e-4,7.520586149778303e-4,TRUE
Gm4949,40.388309942514574,6.938539829310159,2.5723124107760906,1.5117130426296615e-5,1.1839196871385646e-4,TRUE
Glns-ps1,129.75903559345457,6.904379320512977,1.4694287973244238,1.5187971799664193e-6,1.5797618297010628e-5,TRUE
Tmprss11e,20.352822917142756,6.9026731863058695,3.158612722166955,1.824465582259e-4,0.0010150232871904898,TRUE
Ighv5-9-1,29.08767875597497,6.781579000718804,3.2456096434498978,2.4179666659952296e-4,0.001294740924973994,TRUE
1810049J17Rik,35.190445239363385,6.754805117466271,2.3421700515589605,3.184699990511741e-6,3.0628815055025695e-5,TRUE
Tcf23,62.772211043025365,6.754210941271406,2.4902498894536946,1.3978480252373952e-5,1.1027975532165065e-4,TRUE
Galnt2,36.40223852073992,6.7451482888086,2.356922690839367,3.917756061224231e-6,3.666130914296354e-5,TRUE
