Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Tfap2b,16.429211937326198,36.031171788651356,4.563837932586616,7.894927979668684,NA,NA,NA
Pou5f1,8.191104840022717,32.08112784949349,4.585622611755834,6.996024436736112,NA,NA,NA
Nppa,248.37508732450578,8.99026568764671,3.020448722079504,2.9764669143123657,0.002915905434042704,0.24242728198373817,FALSE
Kdm5d,241.97250884873873,8.391322176591734,1.0479542366644157,8.00733646852832,1.1721946106370182e-15,1.0269596983790917e-11,TRUE
Uty,112.22868516010105,8.017787045916108,1.3726658420054325,5.841033411454539,5.187799775802426e-9,3.0300209223870035e-5,TRUE
Ddx3y,355.3681971386328,7.40585385220618,0.7925565720830239,9.344258962791596,9.253516840051553e-21,1.621401220713833e-16,TRUE
Guca2a,24.604579436207068,6.628119791296823,1.7258067836567228,3.8405920373385265,1.227379438036058e-4,0.05973928475907725,FALSE
Eif2s3y,446.1831032747671,6.5092181092087404,0.8687594552237334,7.4925436150014715,NA,NA,NA
Cyct,4.083624552397222,5.6804701936861255,3.255967864763187,1.744633371588659,NA,NA,NA
Crxos,4.094620295864437,5.620469905584409,4.440033757565727,1.265861975938188,0.20556250180183122,NA,NA
Cdx2,1.6456266074378436,5.3754794936298556,4.571489693952377,1.1758704171948755,0.2396466619074894,NA,NA
Mmp7,36.379897297402074,5.30542944296457,1.53625615510834,3.453479698241092,5.53403956627329e-4,0.13204536258863625,FALSE
Gm47040,5.5312669916885255,5.291942239422613,3.2859776000003698,1.61046205531712,0.10729702273003677,0.5657340275372589,FALSE
Gm28321,3.939519969595627,5.14588094989958,3.288894632093693,1.564623232281461,0.11767127818608479,NA,NA
Gm13394,430.9315648892289,4.999856911286638,1.7274030193860925,2.8944356674006237,0.0037984073548374795,0.24834214056515788,FALSE
Sds,2.354417838599841,4.836282140425499,3.8779626744642615,1.2471193114548553,0.2123537530179281,NA,NA
Tmem114,1.8208055363227993,4.779183196058656,2.4956230088820393,1.9150260993144073,0.05548917524890791,NA,NA
C1rb,19.37777528426789,4.741402129460696,3.235018896916022,1.4656489747187336,0.14274394168850568,0.6059074700017847,FALSE
Gm29650,34.40515179031423,4.724076251762416,1.233530910513952,3.829718583861125,1.282898853064102e-4,0.060753928928078904,FALSE
Myh4,1.1019574069465496,4.708762609773557,4.576963006140662,1.0287963008344325,0.3035754053854798,NA,NA
