Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ighv1-42,109.1655426759727,22.221932998151914,2.601598957288118,8.541644336033961,NA,NA
Igkv8-18,66.58822433080535,21.647766995320875,4.827415178819265,4.484339173954308,NA,NA
Igkv14-130,80.25385624113117,21.540707251405575,2.81868024541728,7.642125170610358,NA,NA
Ighv5-15,59.899540738797484,21.476570301203125,4.079497145992887,5.2645141135344655,NA,NA
Igkv4-80,225.30642056028063,21.291717716515628,2.9812174818214507,7.1419538649380625,9.201348465923602e-13,2.901603851593681e-11
Ighv2-3,55.54129453271249,20.842133049280545,2.907025791437145,7.169572802096409,NA,NA
Igkv4-72,132.5397188040345,20.2847127732083,3.2708490251183995,6.20166587250967,NA,NA
Ighe,54.85117076812535,19.945532865346223,4.41450804664042,4.518177938428587,NA,NA
Ighv1-71,21.782002350940466,19.62626198962229,3.4629335785272866,5.667524815179657,1.4487507868944608e-8,1.872253176230404e-7
Ighv1-4,32.90456688062507,18.439020872849767,3.564579557998636,5.172845933954274,2.305551107061323e-7,2.2573837523767163e-6
Igkv1-122,19.602521937269653,18.297435718094018,3.512966860320142,5.208542080134096,NA,NA
Igkv3-9,60.85665705292373,18.19863766416832,5.13103393874911,3.5467778777945385,NA,NA
Igkv12-98,53.9703366314231,18.067616672010463,3.520644269691677,5.131906346673516,2.8682221403999516e-7,2.732793349714086e-6
Ighv5-6,45.16306329222209,18.017975332728533,2.8157806113454864,6.398927267319617,1.5647235021788977e-10,3.042358880797418e-9
Ighv14-1,29.934615283007723,17.046246005840963,3.694421128432198,4.61405059500482,3.948962283013929e-6,2.8682160789140002e-5
Apob,96.51398908717168,16.418933279122214,2.746264134690017,5.978643158071717,NA,NA
Ighv3-5,8.461637506971929,16.229481819034756,3.332625186111899,4.869879123121355,NA,NA
Ighv1-67,62.69620670196686,15.958050755199432,4.034896242576773,3.955008950864192,NA,NA
Adipoq,46.184501868918595,14.748766470056548,5.163476308462942,2.8563637342313952,NA,NA
