Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Ighv5-6,45.16306329222209,19.68418536387283,2.812515871887147,6.998781966220551,2.581973014774032e-12,1.5104542136428088e-10,TRUE
Tfap2b,16.429211937326198,18.8402406966674,5.135733675451476,3.6684613897957195,NA,NA,NA
Igkv4-72,132.5397188040345,18.422065200032453,3.272743742868382,5.628936038813266,NA,NA,NA
Ighv2-3,55.54129453271249,18.171518847399096,2.9102779465487516,6.243911812254354,NA,NA,NA
Ighe,54.85117076812535,17.637585516051686,4.417439618253272,3.9927168315264665,NA,NA,NA
Igkv14-130,80.25385624113117,17.634767393467808,2.8241122327051724,6.244357851378925,NA,NA,NA
Ighv1-71,21.782002350940466,17.507546932897075,3.4671103074976024,5.049607707905088,4.4271826632320505e-7,5.9105644062029555e-6,TRUE
Igkv12-98,53.9703366314231,17.112650697015784,3.5234945649903135,4.856726860613968,1.1934203575449811e-6,1.4082506113940013e-5,TRUE
Igkv4-80,225.30642056028063,16.9925637331021,2.988885869353771,5.685250115213021,1.306213483276942e-8,2.7439011202025425e-7,TRUE
Ighv1-42,109.1655426759727,16.829500373359718,2.6124414714330952,6.442058341742537,NA,NA,NA
Igkv1-122,19.602521937269653,16.21982863355805,3.5227242841919555,4.604342356949052,NA,NA,NA
Ighv9-4,36.093822529733465,16.03028678798245,3.745961262130252,4.279351991714498,NA,NA,NA
Ighv1-4,32.90456688062507,15.708095387536309,3.5796706967530016,4.388139781065502,1.1432429328281268e-5,9.973025222886123e-5,TRUE
Apob,96.51398908717168,15.60048205406065,2.7563773125321367,5.659777412595709,NA,NA,NA
Ighv5-15,59.899540738797484,15.426897708934035,4.099232404515126,3.763362548544937,NA,NA,NA
Ighv14-1,29.934615283007723,15.426645337566184,3.7081574561300124,4.160191556068947,3.17980785885793e-5,2.449783356997101e-4,TRUE
Pou5f1,8.191104840022717,15.08304538601683,5.155100888922593,2.9258487294453626,NA,NA,NA
Igkv3-9,60.85665705292373,13.560180415153704,5.185110049726314,2.615215547039248,NA,NA,NA
Ighv3-5,8.461637506971929,12.748256493155294,3.482650463315543,3.6605041555099778,NA,NA,NA
Adipoq,46.184501868918595,12.722599794249584,5.243878916576537,2.4261810763844878,NA,NA,NA
Igkv8-18,66.58822433080535,12.634779206124815,4.944295915535763,2.5554253673256757,NA,NA,NA
Ighv1-67,62.69620670196686,11.68194071276321,4.188185188029396,2.789260786784774,NA,NA,NA
Igkv9-120,309.1699069837077,9.75444347214522,2.8905392852928173,3.374610240302295,7.392030245971576e-4,0.0035296350209864276,TRUE
Ighv1-69,92.39431026077487,9.29903153131363,2.714864049166031,3.4252291690886567,6.142810351476981e-4,0.0030215814394138276,TRUE
