Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ighv6-4,15.5120693013269,25.87693615718721,4.5630788159326885,5.670937803404562,NA,NA
Nppa,248.37508732450578,10.465162779879403,3.1624793352419958,3.3091640040957295,9.357500597064113e-4,0.11517036281730315
Ighv12-3,264.5752737748241,9.655809724291263,1.5396357851429676,6.271489541531176,3.57610323749867e-10,1.126758608071081e-6
Igkv4-81,68.66944786605183,9.033555287632286,4.521512692545584,1.9979055466382976,0.04572690120333292,0.665410016704346
Igkv2-112,213.12780769920872,8.633138625788698,2.7407524189139765,3.1499155364093707,NA,NA
Adipoq,46.184501868918595,8.440825123520339,4.521668829756115,1.8667499636357956,NA,NA
Gm13394,430.9315648892289,8.28457736910444,1.7505163950197538,4.732647687661876,2.2160994970574073e-6,0.0020327073425859105
Apob,96.51398908717168,7.958757157982679,2.157404626932224,3.6890424070795818,NA,NA
Pck1,12.840567767359014,7.891684488921687,4.563867386605751,1.7291660384529506,NA,NA
Cfd,425.47009626937404,7.786814140494559,3.124566847642237,2.492125955432959,NA,NA
Glyat,16.884986186588204,7.764265909482184,1.6657137105149191,4.661224711347324,3.1433329942245244e-6,0.002468529752032847
Crnn,6.932385792031842,7.6075097156658,4.564240286458562,1.6667636316685992,0.09556141450250696,NA
Xirp1,13.116669318689,7.329729946838138,2.097111048215711,3.4951558493168524,4.7378501799415505e-4,0.07616335891306039
Igkv4-74,86.11323133485713,7.3248095823969575,2.3407996603295946,3.1291911505855197,NA,NA
Igkv5-37,5.461741256391022,7.2757064312800575,4.249906869965761,1.7119684392845704,NA,NA
Npy2r,7.278036877303744,7.174170743580815,4.5649706262248095,1.5715699685703763,NA,NA
Igkv8-27,1012.6120947209118,7.114617810297932,1.7738763341320294,4.01077441161036,NA,NA
Igkv4-86,105.47732956678057,6.888669133184371,2.675008627749347,2.575195108428582,0.01001835558426834,0.39145629565127543
Nppb,5.418249934807064,6.865210876176871,3.0004977790558787,2.2880239819197743,NA,NA
Xist,1344.6889857277572,6.829488938760106,1.612136555560443,4.2362968045135005,2.2723636654185462e-5,0.010834778066488216
Car3,187.6444778238732,6.810585960992364,3.3002792582281297,2.0636392947695175,NA,NA
Sdr9c7,7.709501562934144,6.722750914981232,2.034943469545545,3.303654875721238,9.54332391310618e-4,NA
Sprr2g,11.688221567012986,6.720923979699018,2.2122000731117337,3.038117601291462,NA,NA
Igkv5-45,7.426446065493104,6.613525078490196,2.6159384731044732,2.528165377927094,NA,NA
Igkv4-73,7.71760819106388,6.59143761523971,2.6833592581069525,2.456412645949546,0.01403319150060362,NA
Ighv1-30,3.3910104984296012,6.587811376166112,4.566382140430371,1.4426763187071385,0.14911167325004404,NA
Ighv8-9,3.0302647007243246,6.425441133585672,4.566885434837619,1.4069635039605795,0.15943821112666667,NA
Smpx,21.079699800823196,6.257429723309568,3.145805534843566,1.9891343104336983,0.046686380139417435,0.6680265510593845
Gm8714,2.729739840954617,6.203137506007721,2.4544846995727134,2.5272667240857474,0.011495416287249222,NA
Cxcl3,263.6890486646392,6.177485934495161,0.8556249303025758,7.219852666413785,5.204392953511321e-13,8.199000658961735e-9
Il24,25.083156046183948,6.149209972529137,1.506461746694614,4.081889225545459,4.467108867737622e-5,0.017593708275584624
Ighv4-2,34.777136609909746,6.042234722631579,4.4368144379516705,1.3618407546972098,0.1732481466927829,0.9166693718368467
Pcdh15,5.560731645215106,5.970094192470816,2.8313544199009875,2.1085647739853033,NA,NA
4933404K13Rik,2.7748060262622567,5.939031973243762,3.818727636820832,1.5552384296744781,0.11988929494726887,NA
Kcnj3,12.993407329712953,5.89007246921383,3.835291637494852,1.5357560847865868,0.12459821402226955,0.8678380005893394
Mlip,12.536655819843885,5.886850689809103,2.1645036978614756,2.719723092007326,0.0065336604937649406,0.3230209617755443
Gm16568,8.389067581630993,5.861034225548595,2.0397463359426586,2.873413287853731,0.004060625303519278,NA
Cidec,57.765784839671426,5.853317284294638,1.837382357059275,3.185682752316646,0.0014441286197252165,0.15066756473609974
Msx3,6.483075206653772,5.7930158360843444,1.7466903243776137,3.3165671986810428,9.113066883995813e-4,NA
Igkv1-88,356.4820418949636,5.719368220149247,2.93481522619732,1.9488001047207015,NA,NA
Apom,22.71741579870969,5.6807438630378275,2.772823679124861,2.0487216355678064,0.040489342342693545,0.6498481515225898
Sgk2,1.9399632421851767,5.665732778462428,3.739444217007175,1.515126967984814,0.12974025339348824,NA
Gm6264,3.7971272502664077,5.661458042270876,2.4209709464679916,2.338507221877447,0.01936095147560699,NA
Ighv2-9-1,186.6567521142333,5.632383189034253,2.211555301371976,2.5467973536723716,NA,NA
Art1,12.890589666293405,5.619518301518637,2.1988653445389312,2.555644580726686,0.010599131851668595,0.3976560459375495
Igkv4-61,178.8804372061063,5.596329965723293,2.0160413961818655,2.7759003244288802,NA,NA
Retn,27.933483639518233,5.595299633374407,3.2241192250096486,1.735450596854917,NA,NA
Csta1,2.7038417024249943,5.560150646116398,3.1256852484005444,1.7788581396548493,0.07526302247968551,NA
Plin1,15.620914665907057,5.508259072196319,2.147409110138138,2.5650720424865785,NA,NA
Gm30881,3.600948427693116,5.4751173727196,1.63915735131114,3.340202432878166,8.371734257939838e-4,NA
Aknad1,1.9375471531753508,5.450211904461253,3.594113248330722,1.5164274267074338,0.12941130830664105,NA
Rdh16f2,13.29738158372494,5.437847614282493,2.0222356970767223,2.6890276055077393,0.007166049283607462,0.33361219742334924
Gm32255,7.410072734312625,5.433648565465776,1.6772731412208943,3.239572870946112,0.0011970887352104724,NA
Gm7897,8.676017099881271,5.432233796152402,4.485340439646108,1.211108469746614,NA,NA
