Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tfap2b,16.429211937326198,35.654927179464586,4.564189107737045,7.811886479248564,NA,NA
Ighv8-13,10.184604025231064,29.652299346086867,4.563648655186876,6.497498292815585,NA,NA
Pou5f1,8.191104840022717,28.755791865202617,4.711769969192314,6.102970232677106,NA,NA
Ighv7-2,9.906002188279581,26.885289367615083,4.563671576673435,5.891153409249574,NA,NA
Ighv6-4,15.5120693013269,25.698319591862173,4.5630788159326885,5.631793933107742,NA,NA
Ighv8-11,145.9173901561365,11.727457360754366,3.774249504788395,3.107228959260835,NA,NA
Igkv4-81,68.66944786605183,10.754468344486071,4.562363755730007,2.3572141372943394,0.01841262568933935,0.19149787074004393
Ighv3-2,119.45879519609981,10.491048956930975,3.76302832197923,2.7879271850425575,NA,NA
Ighv4-2,34.777136609909746,9.753838572099758,4.562573073176833,2.1377933932592,0.032533515467129,0.24996076118679586
Ighv8-5,31.48464487402956,9.377144177537469,3.9523806571904414,2.3725306317542887,0.017666698169790232,0.1879824743574315
Ighv1-33,37.438470343736284,8.70885275690189,4.562597913858998,1.9087486825101434,NA,NA
Ighv2-4,18.323644472552,8.676976540549928,4.3734410189528745,1.9840159048554957,NA,NA
Ighv1-14,30.0452305727513,8.448884039749187,3.8770650723536786,2.179195830370745,NA,NA
Ighv3-1,48.72906921248399,8.351967368861287,2.300489532039243,3.6305174409803893,NA,NA
Prss27,29.157608524630717,8.244443639998327,1.7341412901918583,4.754193724945097,1.992399254618864e-6,5.490180241162359e-4
Nppa,248.37508732450578,8.211800643532715,3.0205411139339877,2.7186521665442824,0.006554849802375777,0.11564434393075777
Igkv8-27,1012.6120947209118,8.108428483601399,1.780524248956413,4.553955661291245,NA,NA
Ighv9-4,36.093822529733465,7.8634887093206745,3.2491364895506285,2.4201780179472343,NA,NA
Ighv1-83,20.031770435836545,7.826927510678822,2.1574871436504726,3.627797984202884,2.858487773533465e-4,0.01842160535713378
Ighv5-1,14.66328565308408,7.819007630450311,4.563754291277655,1.7132840927466595,0.08666028741447193,0.38408910848469235
Gm7897,8.676017099881271,7.739229234897747,4.56384522243883,1.6957694351347994,NA,NA
Krt6a,1666.8279657690164,7.633417690169381,1.1650374088077087,6.552079471835474,5.6741329195093514e-11,1.0766982444375635e-7
Igkv8-34,12.525820966985462,7.601188619422283,4.564014935419023,1.6654609432658256,NA,NA
Glyat,16.884986186588204,7.592940967100264,1.6657137105149191,4.558370936835882,5.155192876783682e-6,0.0010993916244279732
Sdr9c7,7.709501562934144,7.513220133482985,2.034943469545545,3.69210262885626,2.2240767606035775e-4,0.015630774863204897
C1rb,19.37777528426789,7.488130723925455,3.217366553262821,2.3274098863032977,0.019943460079758085,0.19877449183351129
Crnn,6.932385792031842,7.436186320000764,4.564240286458561,1.6292276158340855,0.10326484289966152,0.41250347729540277
Car3,187.6444778238732,7.414999016085269,3.3091960967099605,2.2407251789814886,NA,NA
Ido2,7.636640750895737,7.345912547108685,1.832951740623428,4.007695557009142,6.131408702464093e-5,0.0066273542924482134
Krt16,14.644586261805001,7.3380786891283245,1.6656525926384789,4.405527732229223,1.0552664972895234e-5,0.0018203880041121696
A530016L24Rik,30.52682671950964,7.275905791702442,1.7684342404236641,4.114320807291851,3.883210752828081e-5,0.0047943524645524
Igkv5-37,5.461741256391022,7.1043827978538125,4.249906869965763,1.6716561127634888,NA,NA
Kdm5d,241.97250884873873,7.086939123397133,1.0489034780947653,6.756521711864177,1.4134380827148587e-11,4.02311592943406e-8
Ighv2-2,203.16709139688246,7.074919262406355,1.9071074565056374,3.7097643545317665,NA,NA
Gm13394,430.9315648892289,7.065021449593556,1.7268915533052058,4.0911784159644355,4.291867787456254e-5,0.005078116271839908
Ighv12-3,264.5752737748241,7.06442066625776,1.4265585128815348,4.952072138974652,7.342737223702523e-7,2.985696816818849e-4
Retn,27.933483639518233,7.043230881341269,3.305951472012097,2.1304701357441753,NA,NA
Ighv1-56,6.160003979583623,6.9742015581216545,2.897245002887305,2.407183911326581,0.016076071868528656,NA
