Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Igkv4-80,225.30642056028063,22.702322238900496,2.980918258326923,7.615882178413861,2.618965061217878e-14,2.5864898944587766e-12,TRUE
Apob,96.51398908717168,22.171861140600054,2.730616632839566,8.119726831643721,NA,NA,NA
Ighv1-67,62.69620670196686,21.600747300561565,4.019404360990799,5.374116500992425,NA,NA,NA
Adipoq,46.184501868918595,21.250554636340226,5.134518327681088,4.138763030949711,NA,NA,NA
Ighv6-4,15.5120693013269,21.157420502266913,5.1350591480425525,4.120190224163624,NA,NA,NA
Igkv4-72,132.5397188040345,20.945719575430434,3.2704891424565243,6.4044608201015825,NA,NA,NA
Ighv9-4,36.093822529733465,20.703906419582335,3.731741021463854,5.548055532390828,NA,NA,NA
Ighe,54.85117076812535,20.3855058176017,4.414213883955407,4.618150899234415,NA,NA,NA
Igkv12-98,53.9703366314231,20.018141510445055,3.5178866567672546,5.69038842452094,1.2675071222578881e-8,2.8067041119773327e-7,TRUE
Ighv14-1,29.934615283007723,19.851773011056324,3.6879203564821963,5.382918038390713,7.328791461529533e-8,1.3207873079209062e-6,TRUE
Ighv1-4,32.90456688062507,19.76025341373726,3.5626679658402063,5.546476293385672,2.9148412749556174e-8,5.840266074819356e-7,TRUE
Ighv7-2,9.906002188279581,19.549458347801774,5.135585854801302,3.806665665909338,NA,NA,NA
Ighv8-13,10.184604025231064,19.32366621368478,5.13556548728219,3.7627144004955766,NA,NA,NA
Ighv5-6,45.16306329222209,19.13224361635933,2.813010377936438,6.80134128420611,1.0364954937084348e-11,5.169913886800253e-10,TRUE
Igkv14-130,80.25385624113117,18.99503520591263,2.8203845208953284,6.734909749073035,NA,NA,NA
Igkv1-122,19.602521937269653,18.96405038621815,3.511448196043417,5.400635101946317,NA,NA,NA
Ighv3-5,8.461637506971929,18.496490602890205,3.3191212074961878,5.572707185599654,NA,NA,NA
Tfap2b,16.429211937326198,18.46399608748063,5.13604572681772,3.594982807701923,NA,NA,NA
Ighv2-3,55.54129453271249,18.399800671237184,2.909476005174094,6.324094317504501,NA,NA,NA
Ighv1-62-3,7.359496188507898,18.269000118552142,5.136290667217727,3.5568470131867094,NA,NA,NA
Ighv1-42,109.1655426759727,17.03619114435038,2.6102982647129043,6.526530463837288,NA,NA,NA
Igkv3-9,60.85665705292373,17.019099177815445,5.133394907573268,3.3153691629504802,NA,NA,NA
Ighv5-15,59.899540738797484,16.586926529370633,4.087546042609144,4.057917967520419,NA,NA,NA
Ighv1-71,21.782002350940466,16.02289933104615,3.476004721140482,4.609573523763516,4.034958214733219e-6,4.425235683365383e-5,TRUE
Igkv8-18,66.58822433080535,15.613107132757962,4.841250117788614,3.22501559574239,NA,NA,NA
Igkv6-32,437.22234179860436,12.621165617014642,2.584112693214533,4.884139012263592,NA,NA,NA
Igkv5-48,420.67564079102937,12.093746574747819,2.597136442528809,4.65656958822396,NA,NA,NA
Igkv6-25,267.4670885925389,11.788969352210636,2.98394294148245,3.9508025399285174,NA,NA,NA
Pou5f1,8.191104840022717,11.757709401725956,5.267620769819176,2.2320721091183575,NA,NA,NA
Igkv2-112,213.12780769920872,11.719771855328066,3.3392050728517115,3.5097490569272747,NA,NA,NA
Ighv2-2,203.16709139688246,11.614681872839403,2.5484625484732595,4.557525037908665,NA,NA,NA
Ighv2-9-1,186.6567521142333,11.450791295923903,2.8541840296093928,4.011931668432394,NA,NA,NA
Igkv6-13,167.43761352711368,11.294432999309954,2.4019742648321323,4.70214571599471,2.5744166331996325e-6,3.0124334916444992e-5,TRUE
Gm9765,588.5730312301619,11.121742400517588,2.7177226853748797,4.092302154435402,4.271116117833536e-5,3.3557313269470167e-4,TRUE
Ighv8-11,145.9173901561365,11.103495920791547,4.2604399406048135,2.6061852943795496,NA,NA,NA
Igkv9-120,309.1699069837077,11.026104837869095,2.8902566642819796,3.814922381852993,1.3622574478653e-4,8.886165492151719e-4,TRUE
Ighv3-2,119.45879519609981,10.828886655077905,4.248010429040627,2.5491666830779196,NA,NA,NA
Igkv4-86,105.47732956678057,10.572473764192885,3.288389172610504,3.215092012907911,0.0013040271592160452,0.005945785883849337,TRUE
Ighv9-3,139.69822220850537,10.56212409024575,2.3045929858049816,4.583075690719617,NA,NA,NA
Igkv6-17,190.75473792869016,10.373411327981701,2.8254879376258444,3.6713698861861377,2.4125389044056688e-4,0.0014387822596564242,TRUE
Igkv3-7,107.32248317402806,10.289363195687933,2.8180954930116617,3.651176200807811,2.610420644388485e-4,0.0015354683909458411,TRUE
Igkv8-24,361.81104846996885,10.268695073186043,2.596594645752568,3.9546777507160265,7.66378770861207e-5,5.47468842027145e-4,TRUE
Igkv4-81,68.66944786605183,10.130549524092991,5.134423789220685,1.9730645423857056,0.04848820938040106,0.10759438959519081,FALSE
Igkv3-1,93.38919396058006,10.119539708699582,2.9996533970145647,3.373569666005798,NA,NA,NA
Igkv4-91,910.0942711333149,10.115714774979438,2.2762046040878596,4.4441148905562,8.825443659916027e-6,8.685608528682679e-5,TRUE
