Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm15396,28.784782795870203,10.131045048058455,4.7712497488847605,2.123352492798454,0.03372432500311931,0.07811014927237171
n-R5s194,24.668820549354816,10.031465693154757,5.06721330868503,1.9796809571764362,0.047739389664452514,0.10257194407036792
Apom,22.71741579870969,9.777038761878584,3.030573598060428,3.2261347383663295,0.0012547427311918977,0.005186896879156229
Rnu12,16.639445692989664,9.424474013571318,5.051876809698718,1.8655391587296786,0.06210586865975406,0.12583478111634677
Acnat1,18.132448210795065,9.295240589242715,3.8719288046756626,2.400674459204408,0.016364887893317016,0.043641961704722336
Gm11802,13.706521850186533,9.103328036866834,1.6298107726339834,5.58551225069809,2.3301236071547447e-8,4.0163425210823524e-7
9530003J23Rik,15.189584440131304,9.052071480395217,1.8195797309885149,4.974814417985157,6.53101782755417e-7,7.577001151498392e-6
Klra8,13.34693140861549,8.99843604717263,1.4368674489106075,6.262537337034805,3.7876314696865123e-10,1.0127455058490045e-8
Fam181a,109.56929166604543,8.951911425036199,1.9554934930875123,4.577827262877823,4.698304039044173e-6,4.304734668901175e-5
n-R5s33,19.670083343006414,8.726582037323944,1.9929204863668206,4.378790873504881,1.1933958060395158e-5,9.68411350802558e-5
Rdh16f2,13.29738158372494,8.697881314905935,2.1637347548006804,4.019846377014528,5.8236102987894366e-5,3.8084280764949215e-4
Glyat,16.884986186588204,8.60253403213803,1.7678940407644808,4.865978296085031,1.1389201670573613e-6,1.2331381842424207e-5
Gm4544,20.895535403723976,8.601103352627597,1.4271522267029542,6.026759578757831,1.6727955284701921e-9,3.8674631948643184e-8
Gm49490,9.909469429048077,8.422885714914129,2.361477196365879,3.5667868094920685,3.613852471027808e-4,0.0018248867892542988
Rny1,9.423734777465153,8.40383560954011,2.6653569592595585,3.1529869124451952,0.0016160905216902586,0.006401675248057454
Gm16568,8.389067581630993,8.003322199663922,2.1937487830692515,3.648240063507434,2.6404286318211024e-4,0.0013965335544467502
Nppa,248.37508732450578,7.933307030986767,3.489316584176709,2.273599095869543,0.022990101879529164,0.05737124053571749
Rnu11,29.24438209236059,7.87459429678902,3.805871920733779,2.069064451141799,0.03854003905485819,0.08674995961483876
Wfdc15b,7.019391359291136,7.7875317525000565,2.052632146679277,3.7939246762254157,1.4828467418233067e-4,8.481883363229314e-4
Gm48600,5.84397205770958,7.781254861459998,2.468071371513187,3.15276735967699,0.0016173064212159527,0.006404533428015172
Cxcl3,263.6890486646392,7.734542426416905,0.941941958551177,8.211272845636461,2.1885592919541746e-16,2.934037300776065e-14
Gm32255,7.410072734312625,7.7271400560561,1.763289566178842,4.382229784754691,1.1747081607223755e-5,9.544503805869302e-5
Cbln1,19.01452029883448,7.6787711371109735,3.1197685768533323,2.461327161919155,0.013842407543980684,0.03807746902772116
n-R5s115,4.768389778492805,7.6642709365590935,5.071089783729456,1.511365655790563,0.13069531454444305,0.2235973987309884
Vaultrc5,42.090716497633075,7.647981224219434,3.0682914131759795,2.4925863271582247,0.012681649857191054,0.0354346792643753
Serpina1a,4.715054996494578,7.625768494891397,4.6295145815814385,1.647206928612036,0.0995155201761796,0.18037246427576256
Gm13394,430.9315648892289,7.605660392652035,1.9472516910442095,3.9058435165992926,9.389726346648798e-5,5.705655244635034e-4
4933425B07Rik,4.832550031367519,7.540039563726538,2.54021103756057,2.9682728923843396,0.0029947831914331844,0.010696445792898728
Gm32857,5.520595219578387,7.533073045178016,1.7458699011264454,4.314796331798626,1.597501144767815e-5,1.2420362303561285e-4
Gm33586,4.579718632915023,7.489984862818236,3.7408436021110325,2.0022181249682527,0.045261277165161796,0.09831990049211753
Gm47063,9.55659935139315,7.46420570210508,2.1683774559463553,3.442299993313406,5.767902128085086e-4,0.0027065957847030287
Cyp2c69,4.348643778385936,7.463978877511296,3.5658279298354922,2.093196593997076,0.03633160867695083,0.08273937778795987
Ceacam10,834.1970999569479,7.4407242189409315,1.4330242911821856,5.192322464263772,NA,NA
Gm26448,4.6583586332125435,7.43303032924869,1.919527788144538,3.8723223363354573,1.0780325240790042e-4,6.407456243024993e-4
Gm19276,4.6550502026610525,7.431665956719864,2.424917061657396,3.0647093355186454,0.0021788163600732317,0.008216848960971622
Gm15718,4.0976313696735485,7.416241955796416,4.811472548638954,1.5413663656658056,0.12322764512881254,0.21389225761659109
Gm22513,78.88742180025653,7.4152041408512686,1.9712557655265452,3.761665163155823,NA,NA
n-R5s156,7.869590028627241,7.392364152737981,2.359621936216248,3.1328595650335176,0.0017311224803137886,0.00678014191163678
Pck1,12.840567767359014,7.370613401339785,5.072174684110219,1.4531466008909288,NA,NA
Apoc3,3.962151347258871,7.370422295846236,4.857070254838515,1.5174625667610986,0.12914993761923188,0.22171983510353682
Gml,4.16843387844523,7.344906424079617,3.404443669585027,2.1574468949797305,0.030970860670967222,0.07289593577822753
Meg3,424.5729693381701,7.339906857751163,1.71240924873607,4.2863041432232105,NA,NA
Gm11638,3.848397824525319,7.328572671155877,3.6362928461829536,2.015396718899783,0.04386309795756253,0.09583262857296794
