#GENE	SH26-1095-Vehicle	SH26-1125-TDM1	SH26-1127-TDM1	SH26-1182-Combo	SH26-1196-TDM1	SH26-1226-Combo	SH26-1239-Combo	SH26-1259-Resist	SH26-1261-TAK	SH26-1270-TAK	SH26-1274-TAK	SH26-1275-Resist	SH26-1291-Resist	SH26-1313-Vehicle
0610005C13Rik	6	0	2	0	0	0	0	0	0	2	0	1	1	8
0610006L08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	782	357	573	383	334	365	412	338	356	515	403	499	245	376
0610009E02Rik	58	14	18	8	13	25	17	37	21	19	14	16	2	19
0610009L18Rik	247	30	100	52	51	69	43	59	68	153	77	30	44	227
0610010F05Rik	263	316	269	270	299	254	324	327	208	305	405	753	205	221
0610010K14Rik	10	11	5	5	8	8	4	21	12	4	6	6	7	0
0610012D04Rik	0	1	0	0	0	0	2	0	0	0	0	0	0	0
0610012G03Rik	1636	508	1143	682	699	738	649	638	781	904	669	382	539	2235
0610025J13Rik	3	3	1	0	1	1	4	0	0	1	6	5	0	7
0610030E20Rik	325	369	523	528	376	590	506	678	412	647	614	809	462	208
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610033M10Rik	0	2	0	0	0	0	4	3	0	1	0	0	2	0
0610038B21Rik	27	10	11	1	11	9	14	10	7	3	5	15	6	0
0610039K10Rik	5	2	2	5	2	3	10	0	12	1	7	0	5	0
0610040B10Rik	98	6	43	26	14	30	44	35	31	30	27	24	18	105
0610040F04Rik	0	3	1	0	0	0	0	0	1	2	0	15	1	0
0610040J01Rik	1154	1885	2381	1912	2211	2064	1700	1399	1484	2155	1110	1241	2528	629
0610043K17Rik	0	3	2	4	0	10	5	3	9	5	2	5	0	0
0710001A04Rik	134	14	69	4	16	7	2	6	0	24	2	37	20	112
1010001B22Rik	16	4	10	1	2	2	3	0	4	4	5	5	0	0
1100001I12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	2	6	0	4	8	2	2	0	11	5	8	11	0
1110002J07Rik	10	2	5	0	0	2	4	5	0	2	0	0	2	0
1110002L01Rik	231	108	265	192	201	258	194	193	187	268	311	181	153	57
1110002O04Rik	0	0	0	0	0	0	0	6	1	2	1	0	0	0
1110003F10Rik	0	0	1	0	1	0	0	0	1	0	4	3	0	0
1110004F10Rik	1314	2143	2530	1580	1563	1821	2174	1646	1615	1798	1718	1475	1294	850
1110006O24Rik	30	25	24	11	26	10	20	23	15	26	16	6	6	35
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008P14Rik	6422	942	3934	1185	1110	1609	1772	957	1389	1726	1419	1533	1169	7099
1110012L19Rik	384	474	482	419	560	610	565	356	518	493	550	337	343	442
1110013H19Rik	9	0	19	12	8	22	21	13	19	25	10	6	14	0
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	96	367	84	143	219	194	45	657	111	399	136	218	61	22
1110018N20Rik	8	4	6	0	6	2	3	12	4	1	7	1	0	0
1110019B22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	49	22	36	25	32	19	24	57	29	32	33	67	12	51
1110020A21Rik	59	11	28	11	17	3	16	11	13	26	17	5	12	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	32	19	29	12	15	21	25	25	16	14	11	34	10	4
1110028F11Rik	9	1	0	0	0	0	2	2	4	2	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	3	0	0	0	2	0	0	0
1110032A03Rik	571	553	749	698	675	823	626	864	806	1047	1034	1119	526	447
1110032F04Rik	5	15	4	7	3	5	1	9	4	8	6	3	2	0
1110035H17Rik	17	0	5	4	10	11	0	13	2	20	8	7	11	0
1110038B12Rik	6000	426	1155	417	647	595	737	467	890	1302	561	270	401	2054
1110038F14Rik	582	522	916	576	596	781	645	586	576	751	589	281	388	784
1110046J04Rik	147	28	90	39	46	51	81	41	53	125	85	52	19	74
1110051M20Rik	672	454	681	594	433	607	523	610	589	683	580	271	324	567
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	2273	645	1111	457	509	619	761	474	467	688	648	988	275	951
1110059G10Rik	533	212	292	219	187	278	303	261	229	317	374	407	155	436
1110060G06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	1727	405	872	463	546	586	646	381	561	573	488	219	380	1277
1190001M18Rik	3	7	1	2	0	1	0	0	0	0	0	1	0	12
1190005I06Rik	51	3	27	7	10	11	17	10	13	27	18	5	13	269
1190007I07Rik	285	98	241	75	109	90	79	69	54	192	132	59	94	166
1190028D05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	25	12	51	9	27	23	8	21	34	28	33	42	17	9
1300002E11Rik	195	128	213	125	153	163	198	184	147	214	211	295	127	81
1300014J16Rik	46	0	7	6	2	14	2	20	6	27	18	16	3	0
1300017J02Rik	10	1	1	0	0	2	3	5	4	6	2	1	0	0
1500002C15Rik	24	9	9	10	12	9	5	16	13	26	7	15	3	1
1500002F19Rik	13	5	13	5	4	18	23	6	17	11	19	3	4	0
1500004A13Rik	1	0	16	4	7	8	1	21	2	7	4	7	6	0
1500005C15Rik	0	0	0	1	0	0	0	4	0	0	2	1	0	0
1500009C09Rik	0	12	0	6	4	0	2	2	5	2	0	0	0	0
1500009L16Rik	72	30	50	34	49	60	45	102	33	41	65	60	31	58
1500011B03Rik	985	323	369	296	437	386	482	347	614	311	297	303	235	706
1500012K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	607	120	398	188	258	243	209	211	143	53	44	120	230	227
1500015L24Rik	18	11	12	24	27	9	19	10	5	7	18	9	6	10
1500026H17Rik	221	22	52	12	14	23	16	19	16	43	17	23	17	64
1500032F14Rik	0	2	1	1	4	0	0	3	6	6	0	4	0	0
1500035N22Rik	6	0	6	1	2	0	0	0	1	0	0	5	4	0
1520401A03Rik	0	0	0	0	0	0	3	0	0	0	1	0	1	0
1600002D24Rik	5	0	1	1	2	0	2	5	0	3	0	1	0	0
1600010M07Rik	103	5	20	12	22	19	31	10	22	25	15	11	10	57
1600012H06Rik	966	835	1113	920	759	1003	907	729	780	1059	1004	1286	706	323
1600012P17Rik	0	0	0	0	1	0	0	1	0	0	0	0	0	0
1600014C10Rik	695	881	1059	892	758	1022	945	930	835	971	977	730	504	1068
1600014C23Rik	0	9	6	1	10	0	0	0	3	4	2	1	0	0
1600017P15Rik	0	0	0	0	0	2	0	0	2	1	1	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	580	72	164	72	120	219	175	157	250	206	193	111	64	381
1600022D10Rik	4	0	1	0	4	0	0	0	0	0	0	3	0	0
1600023N17Rik	4	0	1	0	3	2	3	1	1	2	0	1	0	0
1600025M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
